,y
3412,1.0
3405,1.0
3255,1.0
3616,0.0
3459,1.0
3564,1.0
3571,1.0
3359,1.0
3360,1.0
3304,1.0
2366,1.0
3674,1.0
2682,1.0
3843,1.0
3166,1.0
3026,1.0
3615,1.0
2681,1.0
3889,1.0
3762,1.0
3529,1.0
3821,1.0
2952,0.0
3371,0.0
3041,1.0
3447,1.0
3746,1.0
3325,1.0
2444,1.0
2207,1.0
2994,1.0
2980,0.0
2842,1.0
3731,1.0
2070,1.0
3470,1.0
2558,0.0
2037,1.0
3691,0.0
2169,1.0
3687,1.0
3055,0.0
3655,0.0
3667,1.0
3085,1.0
2974,1.0
3419,0.0
2687,1.0
2421,1.0
3877,1.0
2900,1.0
2858,0.0
2134,1.0
2073,1.0
2553,1.0
2222,0.0
3151,1.0
3729,1.0
3496,1.0
3924,1.0
3581,1.0
2987,1.0
2418,1.0
2503,0.0
3245,1.0
3641,1.0
3121,0.0
2470,0.0
2146,1.0
3064,1.0
2083,1.0
2432,1.0
3775,0.0
2585,1.0
2855,0.0
3835,1.0
2206,1.0
2400,1.0
2772,1.0
3498,1.0
3995,1.0
2654,0.0
3886,0.0
3351,1.0
3042,1.0
2194,1.0
2240,1.0
3678,1.0
2743,1.0
3305,0.0
2590,1.0
2825,1.0
3708,1.0
3798,1.0
3781,1.0
2616,1.0
3463,1.0
3882,1.0
2154,1.0
3956,1.0
2059,1.0
2951,1.0
3263,1.0
3159,1.0
3432,0.0
2001,1.0
2489,1.0
2515,1.0
2632,1.0
2785,1.0
2135,1.0
2722,1.0
3822,1.0
2618,1.0
2853,1.0
3541,1.0
2977,0.0
2140,0.0
2725,1.0
2736,1.0
2527,1.0
2197,1.0
2897,1.0
2541,1.0
2442,0.0
2065,0.0
2273,0.0
3039,1.0
3606,1.0
3050,1.0
2298,1.0
3425,1.0
3254,1.0
2602,1.0
2942,1.0
2707,1.0
2263,1.0
2272,1.0
2676,1.0
2937,1.0
2057,0.0
2244,1.0
2067,1.0
3528,1.0
3092,1.0
2241,1.0
3240,1.0
2224,1.0
2127,1.0
3733,0.0
3597,1.0
2464,1.0
2266,1.0
2265,0.0
3281,1.0
2595,1.0
2525,0.0
2195,1.0
3192,1.0
3765,1.0
3755,1.0
2112,1.0
3959,1.0
2466,1.0
2949,1.0
2276,0.0
2670,1.0
2101,0.0
2908,1.0
3686,1.0
2862,1.0
2883,1.0
3698,1.0
3955,0.0
2611,1.0
3511,1.0
2852,1.0
3816,1.0
3021,1.0
3152,0.0
3206,1.0
2105,0.0
3732,0.0
3690,1.0
3387,0.0
3049,1.0
2896,1.0
3235,0.0
3629,1.0
2380,1.0
2663,1.0
2938,0.0
2396,0.0
2738,1.0
2430,1.0
2729,1.0
3368,1.0
3827,1.0
2656,0.0
2087,1.0
