,years_experience,degree,nr_commits,nr_languages,nr_stars
2749,0.0,0.0,833.0,0.0,0.0
3429,0.0,0.0,846.0,0.0,0.0
3129,0.0,0.0,826.0,0.0,0.0
2134,0.0,0.0,833.0,0.0,0.0
3393,0.0,0.0,831.0,0.0,0.0
3227,0.0,0.0,817.0,0.0,0.0
2610,0.0,0.0,834.0,0.0,0.0
3300,0.0,0.0,849.0,0.0,0.0
2073,0.0,0.0,838.0,0.0,0.0
3079,0.0,0.0,821.0,0.0,0.0
3820,0.0,0.0,828.0,0.0,0.0
2204,0.0,0.0,843.0,0.0,0.0
2475,0.0,0.0,843.0,0.0,0.0
3643,0.0,0.0,843.0,0.0,0.0
2694,0.0,0.0,0.0,0.0,7.0
2921,0.0,0.0,853.0,0.0,0.0
2873,0.0,0.0,833.0,0.0,0.0
2370,0.0,0.0,841.0,0.0,0.0
3771,0.0,0.0,844.0,0.0,0.0
3320,0.0,0.0,825.0,0.0,0.0
3018,0.0,0.0,839.0,0.0,0.0
3675,0.0,0.0,833.0,0.0,0.0
3463,0.0,0.0,1822.0,0.0,0.0
3447,0.0,0.0,852.0,0.0,0.0
3891,0.0,0.0,822.0,0.0,0.0
2926,0.0,0.0,816.0,0.0,0.0
3001,0.0,0.0,826.0,0.0,0.0
3063,0.0,0.0,829.0,0.0,0.0
2395,0.0,0.0,840.0,0.0,0.0
2712,0.0,0.0,846.0,0.0,0.0
3760,0.0,0.0,824.0,0.0,0.0
3827,0.0,0.0,833.0,0.0,0.0
2313,0.0,0.0,831.0,0.0,0.0
3265,0.0,0.0,845.0,0.0,0.0
2686,0.0,0.0,1821.0,0.0,0.0
3723,0.0,0.0,830.0,0.0,0.0
2137,0.0,0.0,824.0,0.0,0.0
2054,0.0,0.0,821.0,0.0,0.0
3546,0.0,0.0,852.0,0.0,0.0
3844,0.0,0.0,823.0,0.0,0.0
3845,0.0,0.0,828.0,0.0,0.0
2499,0.0,0.0,833.0,0.0,0.0
3628,0.0,0.0,842.0,0.0,0.0
3410,0.0,0.0,821.0,0.0,0.0
2830,0.0,0.0,818.0,0.0,0.0
3964,0.0,0.0,835.0,0.0,0.0
2238,0.0,0.0,813.0,0.0,0.0
3743,0.0,0.0,846.0,0.0,0.0
3212,0.0,0.0,849.0,0.0,0.0
3925,0.0,0.0,819.0,0.0,0.0
2557,0.0,0.0,830.0,0.0,0.0
3154,0.0,0.0,832.0,0.0,0.0
3493,0.0,0.0,836.0,0.0,0.0
3223,0.0,0.0,825.0,0.0,0.0
3523,0.0,0.0,825.0,0.0,0.0
3130,0.0,0.0,843.0,0.0,0.0
3180,0.0,0.0,836.0,0.0,0.0
3161,0.0,0.0,827.0,0.0,0.0
2925,0.0,0.0,823.0,0.0,0.0
3706,0.0,0.0,827.0,0.0,0.0
3901,0.0,0.0,839.0,0.0,0.0
2365,0.0,0.0,839.0,0.0,0.0
2625,0.0,0.0,831.0,0.0,0.0
