,years_experience,degree
3679,0.0,2.0
2861,0.0,2.0
2335,0.0,1.0
2386,0.0,2.0
3516,1.0,1.0
3406,2.0,0.0
2444,0.0,1.0
2767,0.0,1.0
2825,0.0,3.0
3951,1.0,0.0
2569,1.0,0.0
2388,0.0,2.0
3929,1.0,1.0
2997,1.0,1.0
3032,0.0,3.0
2879,1.0,0.0
2864,0.0,1.0
2433,0.0,3.0
3142,0.0,2.0
2630,1.0,1.0
2001,0.0,1.0
3223,0.0,2.0
3974,0.0,3.0
3983,0.0,1.0
2880,0.0,1.0
3130,0.0,2.0
3345,0.0,2.0
2556,0.0,3.0
2393,1.0,0.0
2896,0.0,1.0
2345,0.0,1.0
2589,0.0,3.0
3331,0.0,2.0
2814,0.0,3.0
2150,0.0,2.0
3385,0.0,1.0
2851,0.0,2.0
2357,0.0,1.0
3874,1.0,0.0
2663,2.0,0.0
2089,0.0,2.0
2171,2.0,1.0
3012,1.0,1.0
2182,1.0,0.0
2186,0.0,2.0
2119,0.0,1.0
2492,1.0,0.0
2868,0.0,1.0
2728,2.0,0.0
3107,0.0,1.0
3628,2.0,1.0
2683,0.0,1.0
3019,1.0,2.0
2904,1.0,0.0
2545,0.0,2.0
3603,1.0,1.0
3281,1.0,1.0
3238,1.0,1.0
2619,1.0,0.0
2230,0.0,1.0
2429,1.0,1.0
3321,2.0,1.0
3357,0.0,1.0
2283,0.0,2.0
3294,1.0,2.0
2095,0.0,3.0
2795,2.0,1.0
3326,0.0,1.0
2715,1.0,0.0
3876,0.0,3.0
2909,0.0,2.0
3081,1.0,1.0
3870,1.0,0.0
3370,0.0,2.0
3808,1.0,0.0
2865,2.0,1.0
3093,0.0,3.0
2775,0.0,1.0
2550,1.0,2.0
2902,2.0,0.0
2966,1.0,0.0
2620,0.0,1.0
2412,0.0,1.0
3386,0.0,3.0
2928,1.0,0.0
3424,0.0,2.0
2000,0.0,1.0
2891,0.0,1.0
2122,0.0,2.0
2633,3.0,0.0
3140,0.0,1.0
2303,0.0,2.0
2509,1.0,1.0
3195,1.0,1.0
3395,1.0,0.0
3501,1.0,1.0
3258,1.0,1.0
3716,0.0,1.0
2760,1.0,1.0
3128,2.0,1.0
3961,1.0,0.0
3387,0.0,2.0
2328,2.0,0.0
3410,0.0,2.0
3260,0.0,2.0
2671,0.0,3.0
2298,1.0,1.0
2226,0.0,3.0
3453,2.0,0.0
2750,0.0,3.0
3846,0.0,3.0
3826,0.0,1.0
3383,1.0,1.0
3253,1.0,1.0
3524,0.0,2.0
2402,1.0,1.0
3762,1.0,1.0
2321,2.0,0.0
3242,0.0,2.0
2490,0.0,3.0
3560,1.0,1.0
2219,1.0,2.0
3296,0.0,3.0
2237,0.0,2.0
2575,1.0,1.0
3763,1.0,0.0
2757,0.0,2.0
3068,1.0,0.0
2193,1.0,2.0
3778,0.0,2.0
3438,1.0,0.0
3652,0.0,3.0
3627,0.0,1.0
3229,0.0,2.0
2650,0.0,1.0
3401,0.0,1.0
2651,0.0,1.0
2848,0.0,3.0
2507,0.0,1.0
3390,2.0,1.0
3255,0.0,1.0
2852,1.0,1.0
3235,2.0,0.0
3525,0.0,3.0
2502,0.0,2.0
3995,0.0,3.0
2758,0.0,2.0
3648,0.0,3.0
3465,0.0,2.0
2635,0.0,3.0
3835,1.0,0.0
2637,0.0,1.0
2176,1.0,1.0
3602,0.0,3.0
2197,0.0,1.0
2626,0.0,2.0
3732,0.0,1.0
3504,1.0,0.0
2824,2.0,0.0
3798,0.0,3.0
3310,0.0,1.0
3893,1.0,1.0
3328,0.0,2.0
3311,0.0,3.0
3928,0.0,2.0
2454,1.0,1.0
3041,1.0,0.0
2139,0.0,3.0
2121,0.0,2.0
3508,1.0,2.0
2195,0.0,3.0
3948,2.0,0.0
3970,1.0,0.0
2392,0.0,3.0
2592,0.0,2.0
3251,3.0,0.0
2224,0.0,3.0
3734,0.0,1.0
2911,1.0,0.0
3228,0.0,1.0
3975,0.0,3.0
3220,1.0,1.0
2834,0.0,1.0
2515,0.0,2.0
3612,0.0,1.0
3537,0.0,1.0
2302,0.0,1.0
3487,3.0,0.0
3922,1.0,0.0
2983,1.0,2.0
3015,0.0,2.0
2151,0.0,1.0
2123,1.0,0.0
2472,0.0,3.0
2030,0.0,1.0
2887,1.0,1.0
3792,2.0,0.0
3042,1.0,1.0
3662,0.0,2.0
2849,0.0,3.0
