,y_hat
18842,False
14240,False
17906,False
19716,False
14484,False
17412,False
17851,False
19022,False
13165,False
16712,False
10127,False
17999,False
10486,False
10135,False
11617,False
10565,False
11452,False
12298,False
18573,False
13428,False
13608,False
17989,False
19306,False
17821,False
18586,False
17151,False
11162,False
17270,False
19110,False
14471,False
17304,False
19470,False
11773,False
15772,False
17485,False
19907,False
11802,False
14339,False
14551,False
17968,False
17785,False
18215,False
13626,False
14497,False
16872,False
13865,False
15649,False
11697,False
11668,False
16944,False
19219,False
13215,False
16882,False
15008,False
17553,False
15314,False
10601,False
17509,False
12465,False
16471,False
12709,False
14013,False
11067,False
14247,False
19096,False
16215,False
15708,False
14671,False
15947,False
10070,False
18986,False
14046,False
17549,False
19565,False
16789,False
14178,False
10476,False
11981,False
11494,False
16772,False
14154,False
10641,False
17606,False
17892,False
19845,False
12615,False
10823,False
10546,False
18635,False
11415,False
12721,False
15729,False
17059,False
16921,False
17508,False
13547,False
16838,False
15974,False
18262,False
13634,False
15827,False
11754,False
18291,False
19523,False
13334,False
17442,False
15159,False
18084,False
15650,False
12918,False
10126,False
15145,False
16353,False
18686,False
10287,False
19655,False
15887,False
16563,False
10014,False
14400,False
18689,False
18448,False
15148,False
13365,False
13683,False
19486,False
18162,False
13737,False
19774,False
15325,False
14266,False
15122,False
15443,False
17565,False
16193,False
13993,False
18022,False
16950,False
16590,False
15757,False
19453,False
11799,False
11784,False
19253,False
16557,False
14215,False
17658,False
15049,False
18338,False
17819,False
12735,False
18490,False
10158,False
17076,False
19410,False
19846,False
17177,False
12679,False
11279,False
18174,False
16425,False
19889,False
17345,False
13774,False
14822,False
16656,False
18885,False
10035,False
14521,False
13873,False
12791,False
16050,False
10293,False
15739,False
16015,False
11029,False
18141,False
17577,False
11483,False
16087,False
19563,False
13553,False
13383,False
17464,False
15113,False
15958,False
11460,False
12301,False
18202,False
14974,False
12295,False
13821,False
10387,False
18647,False
19832,False
15198,False
19239,False
18175,False
15828,False
17406,False
