,years_experience,degree
2504,0.0,3.0
2252,3.0,0.0
2381,0.0,2.0
3450,0.0,3.0
2718,1.0,1.0
3215,1.0,1.0
2917,0.0,2.0
2078,0.0,3.0
2839,0.0,2.0
3340,0.0,2.0
3181,1.0,0.0
2061,0.0,2.0
2682,0.0,1.0
3796,1.0,0.0
3988,2.0,0.0
2308,1.0,0.0
3254,0.0,3.0
3019,1.0,1.0
3851,0.0,3.0
3741,0.0,1.0
2312,0.0,2.0
3743,0.0,1.0
2729,0.0,2.0
3123,1.0,0.0
3585,0.0,3.0
3798,1.0,2.0
2082,0.0,1.0
2550,0.0,1.0
2877,0.0,1.0
3919,0.0,1.0
3036,1.0,0.0
2428,0.0,2.0
2894,2.0,0.0
2204,0.0,3.0
3258,1.0,0.0
3547,2.0,0.0
3883,0.0,1.0
2484,1.0,0.0
3998,0.0,2.0
2640,0.0,1.0
2929,2.0,1.0
3624,3.0,0.0
3931,0.0,3.0
3814,1.0,1.0
3497,0.0,1.0
3271,0.0,1.0
3562,0.0,3.0
2841,1.0,1.0
3454,1.0,1.0
2567,0.0,1.0
3017,0.0,3.0
2431,0.0,2.0
2197,0.0,2.0
2566,0.0,3.0
3708,0.0,3.0
3972,0.0,1.0
3055,1.0,1.0
2011,2.0,1.0
3612,0.0,3.0
2528,0.0,2.0
2256,1.0,1.0
2521,1.0,1.0
3965,0.0,3.0
2532,0.0,3.0
2585,0.0,2.0
3773,0.0,1.0
2561,1.0,0.0
3890,1.0,1.0
3861,0.0,1.0
2684,0.0,3.0
3666,0.0,2.0
3148,0.0,3.0
3622,0.0,2.0
3307,3.0,0.0
3189,0.0,1.0
2229,0.0,2.0
2069,0.0,1.0
2818,0.0,1.0
3188,0.0,1.0
2891,0.0,3.0
2163,0.0,1.0
3503,2.0,1.0
2873,0.0,1.0
3028,0.0,3.0
3525,0.0,3.0
3214,0.0,3.0
2453,3.0,0.0
3179,1.0,0.0
3504,0.0,3.0
3050,0.0,3.0
3923,0.0,3.0
2935,0.0,2.0
3598,1.0,1.0
3837,2.0,1.0
2170,2.0,0.0
2777,0.0,1.0
3240,0.0,3.0
3930,0.0,1.0
2002,0.0,2.0
2048,1.0,0.0
3438,2.0,0.0
2181,0.0,2.0
3341,1.0,1.0
3614,1.0,0.0
2186,0.0,3.0
2787,1.0,2.0
2638,1.0,1.0
3139,0.0,2.0
2320,2.0,0.0
2292,0.0,1.0
3306,0.0,2.0
2901,0.0,2.0
3205,1.0,1.0
3765,0.0,1.0
2749,1.0,1.0
3538,1.0,2.0
2908,0.0,3.0
2624,0.0,3.0
3512,0.0,1.0
3647,0.0,3.0
2506,0.0,1.0
3843,0.0,2.0
3020,0.0,1.0
2679,0.0,1.0
3863,0.0,1.0
3327,0.0,1.0
3688,0.0,3.0
3551,1.0,0.0
3143,0.0,3.0
3300,0.0,2.0
3178,0.0,3.0
2391,1.0,2.0
3024,0.0,1.0
3137,1.0,0.0
2005,0.0,2.0
2059,0.0,1.0
2545,2.0,0.0
3901,0.0,2.0
2339,2.0,0.0
3362,0.0,3.0
3140,0.0,3.0
2196,0.0,1.0
2249,0.0,3.0
3190,0.0,1.0
2832,0.0,3.0
3617,0.0,2.0
2603,0.0,1.0
3975,0.0,1.0
2942,0.0,3.0
3449,0.0,3.0
2773,0.0,3.0
3575,0.0,3.0
3233,0.0,2.0
3859,0.0,3.0
2948,1.0,1.0
2571,1.0,1.0
2018,0.0,3.0
2421,0.0,2.0
3401,1.0,1.0
3722,0.0,3.0
2800,0.0,2.0
2714,0.0,3.0
2754,0.0,3.0
2343,1.0,0.0
2176,1.0,0.0
3906,0.0,3.0
2051,0.0,3.0
2118,1.0,0.0
3725,1.0,1.0
3634,0.0,1.0
2903,0.0,1.0
2045,0.0,2.0
3236,1.0,1.0
2209,2.0,0.0
3426,2.0,1.0
3014,1.0,0.0
3934,0.0,1.0
2063,0.0,3.0
2098,0.0,1.0
2943,1.0,1.0
2657,0.0,1.0
3938,0.0,2.0
3269,0.0,2.0
2973,0.0,1.0
3425,2.0,0.0
3878,0.0,3.0
2038,0.0,1.0
3126,0.0,1.0
3530,0.0,2.0
2744,0.0,3.0
3383,0.0,1.0
2541,0.0,1.0
2627,2.0,0.0
3921,1.0,0.0
3783,0.0,3.0
2854,0.0,1.0
3336,0.0,2.0
3129,0.0,1.0
2680,0.0,3.0
2147,0.0,1.0
