,h_post,h_post_individualized
3515,0.5240516691831156,
2320,0.5022443167153438,
3538,0.5140212470340162,
2488,0.5006278881996707,
2778,0.5009845622449228,
2242,0.5117414532913418,
3884,0.504779880993709,
3744,0.5151203777818353,
3712,0.5170535711670433,
3274,0.502089274977248,
3171,0.5025505554933204,
3122,0.5356316674972359,
2041,0.5258618845423516,
2399,0.5039192787061044,
2897,0.5182818108001209,
2014,0.5222612058216527,
3333,0.5250226473613018,
2211,0.523260145921074,
2418,0.5297895331296623,
2674,0.5088033885624408,
3781,0.5126484953590243,
3064,0.5238573073248594,
3951,0.5152016367879143,
3087,0.5230019820479811,
3780,0.5135480587099894,
3121,0.5151763056375738,
2550,0.513761042711984,
3357,0.5255910926228721,
3509,0.5508742176020113,
2504,0.5123616498152824,
2603,0.5041442912742451,
3107,0.5458877058944516,
3441,0.5045662768897561,
3409,0.504577858461018,
2860,0.5076844976505117,
2944,0.5192219797365065,
2709,0.5263139147974496,
3037,0.5007304929645424,
3204,0.5248406466906894,
2106,0.5206090777180906,
2756,0.5593918780232938,
3698,0.506255052133296,
2581,0.5511454181559896,
2798,0.5100540726599689,
2063,0.5243603839180483,
2915,0.5061011358974101,
3380,0.5162576582280979,
2837,0.5193563040551429,
3838,0.517183847623661,
3486,0.5231322219336831,
2026,0.5172283413282646,
2051,0.5129488959667027,
2089,0.5168889263732325,
2776,0.5393437754177742,
3120,0.4730770189963663,
2004,0.5001969941562641,
2981,0.5078125274782768,
2255,0.5146373689596371,
2517,0.5375911591786761,
2354,0.5134278104759378,
2908,0.5356825169208028,
3672,0.5212504318157127,
3057,0.501224088529181,
2007,0.5187394125462452,
2223,0.5259030684840181,
3837,0.5501991831592339,
3559,0.5014808786968583,
2476,0.5022388989267609,
3277,0.3938765883602069,
3410,0.5223888725081944,
2585,0.5163574037295797,
2767,0.6379423027203395,
2098,0.4067378245768131,
3058,0.5322414823940759,
2885,0.5299941426769441,
2044,0.5204510244926005,
3661,0.5057995663128908,
2621,0.5013227215947971,
2855,0.5128826400551464,
3186,0.5217327466967044,
2774,0.5121110046998708,
2252,0.534354536890517,
3682,0.5276473289750252,
3020,0.5101183905535621,
3228,0.5079506769108058,
3729,0.5192373114604135,
2018,0.5181325109958493,
3825,0.339472181629586,
3993,0.5080965695952185,
2960,0.5224223372736729,
3859,0.5404748636344134,
2876,0.5126997515808013,
2400,0.5002919660646143,
2005,0.5148579577729152,
2883,0.5017776099191616,
2913,0.5069607015458205,
2695,0.5029508324276599,
2731,0.5299154569506342,
3450,0.3308812253131354,
2757,0.5091189715063938,
3867,0.5012161387513968,
2892,0.5211527016216534,
2823,0.5255749535869121,
2003,0.5229084826059734,
3634,0.5147156610974642,
3491,0.5249319298441317,
3301,0.5238851821317411,
2254,0.5065043354595214,
2073,0.6066921726465,
2265,0.5231863616108493,
2920,0.5220780873788164,
3147,0.5199810552283343,
3645,0.5178392199036915,
2484,0.5104850355756128,
3143,0.5441468481427136,
2979,0.5137719906226527,
3000,0.5141067506505621,
2954,0.5116525290979143,
2803,0.5271246070149608,
2111,0.512689044587492,
2895,0.5224393278072365,
2126,0.5022351231677932,
2453,0.5104349561968361,
3766,0.5036257670499614,
2492,0.5289151934616142,
2716,0.5137835299885979,
3010,0.5013911439610301,
2762,0.5275968043694547,
2746,0.5211304289548343,
3540,0.5089126870849313,
3440,0.5373429615442084,
2436,0.5020597545239862,
3082,0.5225909913733376,
3374,0.5059821592809953,
2571,0.5106582689287563,
3865,0.5133361987626616,
3743,0.5150812615704488,
3456,0.5502701123638114,
3297,0.5049090944916068,
3978,0.5159115682604978,
3544,0.5074444667176529,
3391,0.5104064570151975,
3552,0.552335944070229,
2821,0.5326977748831291,
2641,0.5137254140338104,
3792,0.5047608829912176,
2691,0.1465667939823418,
3691,0.5252168956062544,
3375,0.5367572983864313,
2361,0.5205185555417153,
2710,0.5030807125290812,
2658,0.5013901461045793,
3240,0.5089999421282957,
2407,0.5261123369421072,
2434,0.5157901248890286,
2474,0.5127455508392759,
3959,0.516000863152973,
2572,0.5026537757039493,
2505,0.919887253730339,
3405,0.5298704377022508,
2508,0.5423895047038679,
2121,0.5155139972086257,
3458,0.5220238028939734,
2066,0.5437826620253084,
3878,0.5123099824747737,
3033,0.6320352187237587,
3140,0.48240227591698337,
3571,0.5509602746615981,
2777,0.5374143874858854,
3549,0.5058512204867582,
2167,0.5016140129210008,
3602,0.5145810923744522,
2771,0.5151491241123819,
3759,0.5116891276680181,
3557,0.5400477111785008,
2782,0.5504563594981821,
3787,0.33491912864924667,
3738,0.5135338716249911,
3636,0.523441582726065,
3654,0.5101458781672359,
3756,0.506858268862114,
3259,0.5199542914947889,
3481,0.5232072835704303,
2364,0.5067737026489638,
3713,0.5250767828636594,
3467,0.9264872776373267,
2080,0.5114120086665116,
2414,0.5463158880024414,
2318,0.5133754584339609,
3916,0.5440235661299301,
3704,0.5483595762807442,
2678,0.535295203809548,
2999,0.5062041887490875,
3758,0.5090880578164863,
2820,0.503677923300214,
2792,0.5212461885557028,
3378,0.5117463608148864,
2625,0.5004658205191912,
3191,0.5406233515782133,
2409,0.5222845160302285,
