,y
3205,1.0
3705,1.0
3139,0.0
2927,1.0
2455,0.0
2210,0.0
2768,1.0
2242,0.0
2419,0.0
2309,0.0
3413,0.0
3959,0.0
2937,1.0
3486,1.0
3305,0.0
3508,0.0
3116,0.0
2211,1.0
3727,0.0
2121,1.0
3598,0.0
2190,1.0
2636,0.0
3901,1.0
3059,0.0
3093,0.0
2487,0.0
3033,1.0
2128,1.0
2721,1.0
2766,0.0
2229,1.0
3343,0.0
2352,0.0
2575,0.0
2876,0.0
3929,1.0
2392,0.0
3469,0.0
2260,1.0
2270,1.0
2546,1.0
3428,0.0
2024,1.0
3605,0.0
3743,1.0
2214,0.0
3865,1.0
3766,0.0
2374,0.0
2282,0.0
3733,0.0
3489,1.0
3993,1.0
2987,0.0
3321,1.0
3175,0.0
2788,1.0
2378,1.0
2300,1.0
3158,0.0
3042,1.0
2864,1.0
3224,1.0
2934,1.0
3557,0.0
3615,0.0
3940,0.0
2966,1.0
3015,0.0
2940,0.0
2013,0.0
2241,1.0
2261,0.0
3104,1.0
3717,0.0
2522,0.0
2446,0.0
3238,0.0
3691,0.0
2608,0.0
2703,1.0
3818,0.0
2664,1.0
3242,1.0
2531,1.0
2417,0.0
2325,1.0
2265,1.0
2005,1.0
2023,1.0
2225,1.0
2244,1.0
2295,1.0
2143,1.0
2908,0.0
2058,1.0
3419,1.0
3855,1.0
2623,1.0
2137,0.0
2400,0.0
3857,1.0
2493,0.0
3569,1.0
2619,1.0
3871,0.0
3710,1.0
2448,1.0
3176,0.0
2732,1.0
2385,1.0
3919,0.0
3399,1.0
3609,0.0
3567,1.0
2160,1.0
2454,1.0
3587,1.0
2856,0.0
2630,1.0
3125,1.0
3632,1.0
2286,1.0
3814,1.0
2645,1.0
2893,0.0
2798,1.0
2588,1.0
2605,0.0
2860,0.0
2444,1.0
2738,0.0
3711,1.0
2068,1.0
2209,1.0
2362,1.0
3964,0.0
3054,0.0
3607,0.0
2037,0.0
2509,0.0
3032,0.0
3834,0.0
2595,1.0
3371,1.0
2912,1.0
2239,1.0
3154,0.0
2801,1.0
2855,0.0
2532,1.0
3064,0.0
2983,1.0
3962,1.0
2411,1.0
2148,1.0
2337,1.0
3550,0.0
2834,1.0
2397,1.0
3217,1.0
3037,1.0
3924,0.0
3850,0.0
3488,0.0
3877,1.0
3479,0.0
2739,1.0
3769,0.0
3477,1.0
3817,0.0
3166,1.0
3760,0.0
3405,1.0
3406,0.0
2146,0.0
2067,1.0
2140,0.0
2510,1.0
3672,1.0
3202,0.0
3624,1.0
3040,1.0
2818,1.0
2933,1.0
2613,0.0
2557,1.0
2534,1.0
3757,0.0
2641,1.0
3480,0.0
2304,1.0
3342,1.0
2469,0.0
3024,1.0
3813,1.0
3686,1.0
3077,0.0
3869,1.0
