,y_hat
3205,False
3705,False
3139,False
2927,False
2455,False
2210,False
2768,False
2242,False
2419,False
2309,False
3413,False
3959,False
2937,False
3486,False
3305,False
3508,False
3116,False
2211,False
3727,False
2121,False
3598,False
2190,False
2636,False
3901,False
3059,False
3093,False
2487,False
3033,False
2128,False
2721,False
2766,False
2229,False
3343,False
2352,False
2575,False
2876,False
3929,False
2392,False
3469,False
2260,False
2270,False
2546,False
3428,False
2024,False
3605,False
3743,False
2214,False
3865,False
3766,False
2374,False
2282,False
3733,False
3489,False
3993,False
2987,False
3321,False
3175,False
2788,False
2378,False
2300,False
3158,False
3042,False
2864,False
3224,False
2934,False
3557,False
3615,False
3940,False
2966,False
3015,False
2940,False
2013,False
2241,False
2261,False
3104,False
3717,False
2522,False
2446,False
3238,False
3691,False
2608,False
2703,False
3818,False
2664,False
3242,False
2531,False
2417,False
2325,False
2265,False
2005,False
2023,False
2225,False
2244,False
2295,False
2143,False
2908,False
2058,False
3419,False
3855,False
2623,False
2137,False
2400,False
3857,False
2493,False
3569,False
2619,False
3871,False
3710,False
2448,False
3176,False
2732,False
2385,False
3919,False
3399,False
3609,False
3567,False
2160,False
2454,False
3587,False
2856,False
2630,False
3125,False
3632,False
2286,False
3814,False
2645,False
2893,False
2798,False
2588,False
2605,False
2860,False
2444,False
2738,False
3711,False
2068,False
2209,False
2362,False
3964,False
3054,False
3607,False
2037,False
2509,False
3032,False
3834,False
2595,False
3371,False
2912,False
2239,False
3154,False
2801,False
2855,False
2532,False
3064,False
2983,False
3962,False
2411,False
2148,False
2337,False
3550,False
2834,False
2397,False
3217,False
3037,False
3924,False
3850,False
3488,False
3877,False
3479,False
2739,False
3769,False
3477,False
3817,False
3166,False
3760,False
3405,False
3406,False
2146,False
2067,False
2140,False
2510,False
3672,False
3202,False
3624,False
3040,False
2818,False
2933,False
2613,False
2557,False
2534,False
3757,False
2641,False
3480,False
2304,False
3342,False
2469,False
3024,False
3813,False
3686,False
3077,False
3869,False
