,y
2553,0.0
2763,0.0
3361,1.0
2832,0.0
2359,1.0
3443,0.0
2810,0.0
2342,0.0
2445,0.0
3801,0.0
3342,0.0
3408,0.0
2362,0.0
2812,1.0
2538,0.0
2058,0.0
3154,1.0
3827,0.0
3149,0.0
2959,0.0
3557,1.0
2982,0.0
2483,0.0
2187,0.0
2651,0.0
2255,1.0
3549,1.0
2798,0.0
3235,0.0
2936,0.0
3893,0.0
3276,1.0
2052,0.0
2753,0.0
2451,0.0
3518,0.0
2603,0.0
3380,1.0
3098,0.0
2212,0.0
3157,0.0
2365,0.0
3731,0.0
2036,0.0
3599,0.0
3482,0.0
3453,0.0
3713,0.0
2167,0.0
3903,0.0
3413,0.0
2367,0.0
3424,1.0
2616,0.0
3253,0.0
3403,1.0
2908,0.0
3689,0.0
3189,0.0
2661,0.0
3267,1.0
2010,1.0
3831,0.0
3755,0.0
2095,0.0
3300,0.0
2061,0.0
3596,0.0
3649,0.0
3543,0.0
3296,1.0
2463,0.0
3377,0.0
2872,0.0
3660,1.0
3917,0.0
3542,0.0
2401,0.0
3007,0.0
3597,0.0
3638,1.0
3027,0.0
3951,0.0
3523,0.0
3227,0.0
2272,0.0
2094,1.0
2562,0.0
2558,0.0
2015,0.0
3068,0.0
2124,1.0
3571,0.0
3050,0.0
2910,0.0
2751,1.0
3338,1.0
2712,1.0
3116,0.0
3299,0.0
3001,0.0
2976,0.0
3942,0.0
2301,0.0
2157,1.0
2624,0.0
3657,0.0
3282,0.0
3020,0.0
2927,1.0
3418,0.0
2314,0.0
2431,0.0
3406,0.0
3679,1.0
3813,1.0
3395,0.0
2426,1.0
3497,0.0
3427,1.0
3455,1.0
2078,0.0
3727,0.0
2233,1.0
2074,1.0
3225,0.0
3145,0.0
2029,1.0
2289,1.0
3352,1.0
3500,0.0
2727,0.0
2984,0.0
3094,0.0
3823,0.0
2171,0.0
2490,0.0
3318,0.0
2155,0.0
2863,0.0
3263,0.0
3651,1.0
3784,1.0
3399,0.0
3531,0.0
3187,1.0
3941,0.0
3378,0.0
3387,0.0
3385,1.0
2259,0.0
2446,0.0
3580,0.0
2928,0.0
3172,0.0
2093,0.0
2724,0.0
2204,1.0
2747,0.0
2476,0.0
3621,0.0
2179,0.0
3567,0.0
2754,0.0
2702,0.0
2987,0.0
2393,0.0
3521,0.0
3606,1.0
2404,0.0
3770,0.0
3958,0.0
3832,0.0
2443,0.0
2968,0.0
3311,0.0
2633,0.0
2033,0.0
3658,0.0
2374,0.0
3198,1.0
3522,0.0
2182,0.0
2766,0.0
2091,0.0
2341,0.0
3279,0.0
2152,1.0
3997,0.0
3481,0.0
3632,0.0
3680,0.0
2549,0.0
3220,0.0
3126,0.0
2756,0.0
2970,0.0
3624,0.0
3321,0.0
3519,0.0
