,y_hat
3076,False
2508,False
2253,False
3182,False
2825,False
2996,False
2735,False
2838,False
3459,False
2252,False
2262,False
2904,False
3104,False
2921,False
3509,False
2295,False
3599,False
3743,False
3282,False
2494,False
2061,False
2804,False
3330,False
3206,False
3171,False
2155,False
3240,False
3453,False
3889,False
3067,False
3851,False
2410,False
3638,False
3939,False
3264,False
2317,False
2515,False
2599,False
3329,False
2578,False
3179,False
3415,False
2900,False
3072,False
2285,False
3238,False
3467,False
2590,False
2011,False
2083,False
2739,False
3621,False
2931,False
3129,False
2593,False
2064,False
2443,False
2631,False
3837,False
2691,False
3642,False
2747,False
2524,False
3680,False
2922,False
2238,False
3106,False
2270,False
2157,False
3492,False
2120,False
2019,False
2053,False
3310,False
2908,False
3544,False
3989,False
2111,False
3868,False
3019,False
3629,False
3154,False
3272,False
3370,False
3090,False
2074,False
2929,False
2837,False
2794,False
3613,False
3005,False
2362,False
3003,False
3442,False
3948,False
3962,False
3749,False
3098,False
2557,False
2496,False
2109,False
2306,False
3529,False
3618,False
2310,False
3041,False
3134,False
3864,False
2100,False
2915,False
2874,False
2993,False
3588,False
2423,False
3126,False
2336,False
2480,False
3056,False
2435,False
2122,False
3447,False
3462,False
3083,False
2434,False
3875,False
2176,False
3890,False
2218,False
3313,False
3830,False
3954,False
2187,False
2947,False
2107,False
3354,False
2626,False
3862,False
2543,False
3335,False
3959,False
3896,False
2376,False
2696,False
2114,False
3586,False
2386,False
3792,False
2293,False
3523,False
3484,False
2899,False
3812,False
3573,False
2765,False
2454,False
3779,False
2267,False
3940,False
3364,False
3873,False
3701,False
3167,False
2087,False
3593,False
2694,False
2185,False
3726,False
2268,False
3131,False
2940,False
2571,False
3991,False
3014,False
2517,False
2063,False
2717,False
3161,False
2269,False
2023,False
2677,False
3665,False
3511,False
3077,False
3337,False
3436,False
3952,False
2732,False
3213,False
2304,False
2152,False
3788,False
2123,False
2994,False
2089,False
2315,False
2314,False
2214,False
2980,False
3762,False
2380,False
