,x1,x2
3139,1.0,-0.0
3521,0.2,3.4
3153,0.3,-0.0
2936,0.5,-0.0
2274,2.4,1.8
3780,0.3,-0.0
3767,1.1,0.0
3323,1.4,0.2
2182,0.2,-0.0
3543,2.9,0.0
3801,0.5,2.6
3930,1.4,-0.0
2797,0.6,2.3
3617,0.6,1.8
3079,2.9,3.5
3865,1.0,0.0
3537,1.6,0.0
3017,2.2,0.0
2106,1.0,0.7
2673,-0.0,0.7
2712,1.4,-0.0
3903,0.7,0.0
3970,0.2,0.9
3402,0.3,0.2
2283,2.0,-0.0
3644,0.6,-0.0
2939,0.9,0.8
2827,-0.0,0.2
3926,1.3,1.4
3734,2.3,0.0
2533,2.1,0.0
2746,0.4,0.1
2550,0.9,-0.0
3076,0.8,-0.0
3056,1.8,3.5
3359,1.0,0.8
3668,0.6,0.0
2421,3.0,0.0
2418,-0.0,1.1
3144,0.1,-0.0
2053,1.4,0.0
2744,1.0,-0.0
2532,0.1,-0.0
3797,1.2,-0.0
3011,0.9,0.2
2035,1.1,-0.0
3929,0.3,2.0
3808,1.3,1.6
2264,1.1,-0.0
2093,1.0,0.8
3309,-0.0,0.5
2119,1.0,-0.0
3773,1.9,0.0
3928,1.6,-0.0
2151,3.4,-0.0
3095,1.4,3.3
3669,1.1,3.5
2414,0.1,0.0
2207,1.4,0.3
2442,0.9,0.0
3276,0.7,0.0
2218,2.7,0.0
2722,1.8,0.0
2605,0.5,3.9
2841,0.8,0.0
2528,0.3,1.4
3955,1.5,0.0
3911,0.6,-0.0
2814,1.2,-0.0
2241,1.5,1.4
2456,1.1,0.0
2459,1.3,0.0
2595,1.1,0.0
2245,0.9,0.4
3136,0.6,0.0
3892,0.4,1.6
2399,1.1,0.0
3018,0.2,3.3
3343,1.2,-0.0
3599,0.8,0.0
2834,2.0,2.3
2789,0.3,1.5
3155,1.3,0.0
2405,1.5,0.0
3726,-0.1,-0.0
3971,0.6,-0.0
3538,0.8,-0.0
2657,0.6,2.0
2968,3.2,1.4
3597,2.1,2.1
2260,1.3,0.8
2687,0.9,-0.0
3271,0.4,0.0
3074,1.7,0.0
2033,2.0,0.0
2320,2.5,4.0
3270,1.3,0.0
2514,0.1,0.1
3752,1.4,-0.0
2481,0.8,-0.0
2826,1.3,-0.0
2295,1.6,-0.0
2886,0.6,-0.0
2957,0.5,0.0
3512,1.7,1.1
2454,1.0,0.0
3298,0.5,0.0
3721,1.5,0.0
3411,1.8,3.1
2598,1.5,1.5
2027,1.5,0.0
3243,1.0,-0.0
3691,1.0,0.7
3468,1.9,0.0
3656,1.2,1.7
2343,1.2,0.0
3616,2.2,0.0
2729,2.3,-0.0
2689,2.5,1.0
3536,0.8,0.4
3612,2.4,3.3
2066,2.2,-0.0
2104,0.9,0.0
2438,0.4,0.1
2569,1.4,2.1
2952,1.0,2.3
3635,1.8,0.0
2025,1.8,0.0
2302,1.0,-0.0
3554,-0.0,2.8
2503,2.7,2.3
3286,0.3,1.9
3596,0.8,-0.0
3975,1.4,4.2
2384,1.4,-0.0
3163,2.7,-0.0
3214,1.3,0.0
2290,0.5,2.5
3649,0.0,0.5
2431,0.4,-0.0
2222,1.6,2.6
2885,1.9,1.9
3246,1.5,0.0
3134,1.9,-0.0
2821,0.5,0.0
3859,1.1,1.7
2309,0.1,-0.0
3570,0.9,0.0
3853,0.2,0.2
2807,0.4,-0.0
2713,2.8,0.0
3487,0.7,-0.0
3231,0.8,0.0
2226,-0.0,0.1
2129,2.5,-0.0
3932,1.1,-0.0
3282,2.1,0.7
2655,0.9,0.0
2950,1.4,0.0
3598,0.8,0.0
2510,2.1,2.0
3774,2.1,0.0
3452,0.8,0.0
3786,1.8,3.6
2901,1.1,0.0
3002,1.9,2.3
3893,1.9,4.0
3602,0.0,-0.1
2781,1.3,0.0
2018,1.5,-0.0
3999,0.9,-0.0
2858,0.9,-0.0
2183,2.6,0.0
3090,1.3,0.0
3908,0.5,-0.0
2085,0.5,-0.0
2153,0.7,0.0
3159,2.6,3.0
2833,0.6,-0.0
2618,0.6,0.0
2586,1.7,-0.0
2109,-0.0,3.3
3137,2.2,0.0
2974,1.3,0.0
3809,1.0,0.0
2898,1.5,-0.0
2983,1.0,-0.0
3191,1.4,-0.0
2307,0.0,0.8
3844,1.4,-0.0
3939,1.1,0.0
2592,1.1,-0.0
2609,1.4,-0.0
2458,0.9,1.3
3655,1.3,0.2
3491,2.0,0.0
2350,1.7,-0.0
2751,0.7,-0.0
3622,2.0,0.0
3886,2.1,3.3
