,y_hat
3139,False
3521,False
3153,False
2936,False
2274,False
3780,False
3767,False
3323,False
2182,False
3543,False
3801,False
3930,False
2797,False
3617,False
3079,False
3865,False
3537,False
3017,False
2106,False
2673,False
2712,False
3903,False
3970,False
3402,False
2283,False
3644,False
2939,False
2827,False
3926,False
3734,False
2533,False
2746,False
2550,False
3076,False
3056,False
3359,False
3668,False
2421,False
2418,False
3144,False
2053,False
2744,False
2532,False
3797,False
3011,False
2035,False
3929,False
3808,False
2264,False
2093,False
3309,False
2119,False
3773,False
3928,False
2151,False
3095,False
3669,False
2414,False
2207,False
2442,False
3276,False
2218,False
2722,False
2605,False
2841,False
2528,False
3955,False
3911,False
2814,False
2241,False
2456,False
2459,False
2595,False
2245,False
3136,False
3892,False
2399,False
3018,False
3343,False
3599,False
2834,False
2789,False
3155,False
2405,False
3726,False
3971,False
3538,False
2657,False
2968,False
3597,False
2260,False
2687,False
3271,False
3074,False
2033,False
2320,False
3270,False
2514,False
3752,False
2481,False
2826,False
2295,False
2886,False
2957,False
3512,False
2454,False
3298,False
3721,False
3411,False
2598,False
2027,False
3243,False
3691,False
3468,False
3656,False
2343,False
3616,False
2729,False
2689,False
3536,False
3612,False
2066,False
2104,False
2438,False
2569,False
2952,False
3635,False
2025,False
2302,False
3554,False
2503,False
3286,False
3596,False
3975,False
2384,False
3163,False
3214,False
2290,False
3649,False
2431,False
2222,False
2885,False
3246,False
3134,False
2821,False
3859,False
2309,False
3570,False
3853,False
2807,False
2713,False
3487,False
3231,False
2226,False
2129,False
3932,False
3282,False
2655,False
2950,False
3598,False
2510,False
3774,False
3452,False
3786,False
2901,False
3002,False
3893,False
3602,False
2781,False
2018,False
3999,False
2858,False
2183,False
3090,False
3908,False
2085,False
2153,False
3159,False
2833,False
2618,False
2586,False
2109,False
3137,False
2974,False
3809,False
2898,False
2983,False
3191,False
2307,False
3844,False
3939,False
2592,False
2609,False
2458,False
3655,False
3491,False
2350,False
2751,False
3622,False
3886,False
