,y
2275,0.0
3599,1.0
3502,0.0
2468,0.0
3867,0.0
2378,0.0
3857,0.0
3222,1.0
3895,1.0
2384,1.0
2660,0.0
3555,0.0
2926,1.0
2379,0.0
2747,0.0
2884,0.0
3380,1.0
2767,1.0
2336,0.0
2715,0.0
3847,0.0
2724,0.0
3661,0.0
3900,0.0
3810,0.0
3610,1.0
3226,0.0
2940,0.0
2491,0.0
2290,0.0
3266,1.0
2711,0.0
2637,0.0
2556,0.0
3550,0.0
2722,0.0
2274,1.0
2309,1.0
3194,1.0
2139,1.0
3503,0.0
3035,0.0
2219,1.0
2820,0.0
2431,1.0
3695,0.0
2442,1.0
2813,0.0
3433,0.0
2742,1.0
2885,0.0
2899,0.0
2536,0.0
2456,1.0
2721,0.0
2040,0.0
3076,0.0
2241,0.0
2810,0.0
3476,1.0
2594,1.0
3416,0.0
2366,0.0
3313,0.0
2042,0.0
2024,0.0
2720,0.0
3243,0.0
3554,0.0
2923,0.0
3630,1.0
3347,0.0
3334,0.0
2278,1.0
3017,0.0
3237,0.0
2341,0.0
2920,0.0
2053,0.0
3100,0.0
2808,0.0
3400,0.0
2337,0.0
3285,0.0
2734,0.0
2983,0.0
3638,0.0
2672,1.0
3618,1.0
3233,0.0
2314,0.0
3302,0.0
2534,0.0
2388,0.0
2956,1.0
2321,0.0
3955,0.0
3418,0.0
2014,1.0
2765,1.0
2561,0.0
3569,0.0
2483,1.0
3461,0.0
3825,0.0
2216,0.0
2530,0.0
3048,0.0
3470,1.0
3224,0.0
2106,0.0
3936,0.0
3098,0.0
2539,0.0
2751,0.0
2874,0.0
2802,1.0
3593,0.0
3705,0.0
2444,0.0
3167,0.0
3848,1.0
3722,0.0
3475,0.0
3603,1.0
3830,0.0
3817,0.0
2775,0.0
3405,0.0
3646,0.0
2670,0.0
2234,0.0
2128,0.0
3802,0.0
3693,0.0
2953,0.0
2125,1.0
3275,1.0
2387,0.0
2067,1.0
2263,1.0
3210,0.0
3615,0.0
3166,0.0
3986,0.0
3841,0.0
3192,0.0
2961,0.0
2526,0.0
3270,0.0
2171,0.0
3107,1.0
3530,1.0
2733,0.0
3103,0.0
3158,0.0
2055,0.0
3180,0.0
3782,0.0
2403,1.0
2465,0.0
3455,1.0
2888,0.0
3741,0.0
2109,0.0
2144,0.0
2835,1.0
2066,0.0
2245,1.0
3114,0.0
2230,0.0
3493,0.0
3598,0.0
2970,0.0
2625,0.0
3351,0.0
2624,0.0
3975,0.0
3633,0.0
3843,0.0
3584,0.0
2503,0.0
2827,1.0
3268,0.0
3053,0.0
2356,0.0
3859,0.0
2350,0.0
2087,0.0
3154,1.0
2635,1.0
2111,0.0
3164,0.0
2043,1.0
3626,0.0
3649,1.0
3426,0.0
3286,0.0
3063,0.0
3402,0.0
