,years_experience,degree,nr_commits,nr_languages,nr_stars
3285,0.0,0.0,846.0,0.0,0.0
3966,0.0,0.0,828.0,0.0,0.0
3293,0.0,0.0,821.0,0.0,0.0
3453,0.0,0.0,848.0,0.0,0.0
3943,0.0,0.0,830.0,0.0,0.0
2293,0.0,0.0,847.0,0.0,0.0
2943,0.0,0.0,821.0,0.0,0.0
2435,0.0,0.0,824.0,0.0,0.0
2038,0.0,0.0,813.0,0.0,0.0
3450,0.0,0.0,831.0,0.0,0.0
2651,0.0,0.0,846.0,0.0,0.0
3938,0.0,0.0,831.0,0.0,0.0
3532,0.0,0.0,829.0,0.0,0.0
2805,0.0,0.0,833.0,0.0,0.0
3877,0.0,0.0,817.0,0.0,0.0
3512,0.0,0.0,1831.0,0.0,0.0
2313,0.0,0.0,846.0,0.0,0.0
3522,0.0,0.0,832.0,0.0,0.0
3612,0.0,0.0,846.0,0.0,0.0
3189,0.0,0.0,815.0,0.0,0.0
3911,0.0,0.0,811.0,0.0,0.0
2966,0.0,0.0,828.0,0.0,0.0
2776,0.0,0.0,839.0,0.0,0.0
3031,0.0,0.0,824.0,0.0,0.0
2731,0.0,0.0,834.0,0.0,0.0
2682,0.0,0.0,847.0,0.0,0.0
3401,0.0,0.0,819.0,0.0,0.0
2901,0.0,0.0,1841.0,0.0,0.0
2421,0.0,0.0,829.0,0.0,0.0
3337,0.0,0.0,838.0,0.0,0.0
3305,0.0,0.0,831.0,0.0,0.0
2787,0.0,0.0,839.0,0.0,0.0
2567,0.0,0.0,1832.0,0.0,0.0
2609,0.0,0.0,1825.0,0.0,0.0
3566,0.0,0.0,840.0,0.0,0.0
3315,0.0,0.0,1824.0,0.0,0.0
2834,0.0,0.0,845.0,0.0,0.0
2528,0.0,0.0,824.0,0.0,0.0
3754,0.0,0.0,825.0,0.0,0.0
2413,0.0,0.0,836.0,0.0,0.0
3014,0.0,0.0,816.0,0.0,0.0
3765,0.0,0.0,1826.0,0.0,0.0
3433,0.0,0.0,817.0,0.0,0.0
3935,0.0,0.0,810.0,0.0,0.0
3751,0.0,0.0,852.0,0.0,0.0
3632,0.0,0.0,841.0,0.0,0.0
3697,0.0,0.0,2819.0,0.0,0.0
3563,0.0,0.0,837.0,0.0,0.0
3214,0.0,0.0,837.0,0.0,0.0
2285,0.0,0.0,836.0,0.0,0.0
2308,0.0,0.0,829.0,0.0,0.0
3951,0.0,0.0,829.0,0.0,0.0
2096,0.0,0.0,837.0,0.0,0.0
2826,0.0,0.0,844.0,0.0,0.0
2598,0.0,0.0,814.0,0.0,0.0
2667,0.0,0.0,830.0,0.0,0.0
2841,0.0,0.0,826.0,0.0,0.0
2760,0.0,0.0,821.0,0.0,0.0
2059,0.0,0.0,833.0,0.0,0.0
2212,0.0,0.0,847.0,0.0,0.0
2809,0.0,0.0,845.0,0.0,0.0
2687,0.0,0.0,810.0,0.0,0.0
3796,0.0,0.0,1826.0,0.0,0.0
2754,0.0,0.0,845.0,0.0,0.0
3190,0.0,0.0,838.0,0.0,0.0
3617,0.0,0.0,832.0,0.0,0.0
3841,0.0,0.0,848.0,0.0,0.0
2346,0.0,0.0,830.0,0.0,0.0
2381,0.0,0.0,838.0,0.0,0.0
3835,0.0,0.0,829.0,0.0,0.0
2133,0.0,0.0,834.0,0.0,0.0
2495,0.0,0.0,826.0,0.0,0.0
2977,0.0,0.0,1831.0,0.0,0.0
2323,0.0,0.0,821.0,0.0,0.0
2382,0.0,0.0,837.0,0.0,0.0
2833,0.0,0.0,834.0,0.0,0.0
3258,0.0,0.0,1824.0,0.0,0.0
2048,0.0,0.0,1829.0,0.0,0.0
2908,0.0,0.0,834.0,0.0,0.0
3460,0.0,0.0,834.0,0.0,0.0
2603,0.0,0.0,849.0,0.0,0.0
2773,0.0,0.0,832.0,0.0,0.0
2741,0.0,0.0,824.0,0.0,0.0
3552,0.0,0.0,836.0,0.0,0.0
3679,0.0,0.0,842.0,0.0,0.0
2785,0.0,0.0,848.0,0.0,0.0
3217,0.0,0.0,823.0,0.0,0.0
3628,0.0,0.0,828.0,0.0,0.0
2358,0.0,0.0,827.0,0.0,0.0
3716,0.0,0.0,2832.0,0.0,0.0
3849,0.0,0.0,855.0,0.0,0.0
3487,0.0,0.0,838.0,0.0,0.0
2653,0.0,0.0,825.0,0.0,0.0
3225,0.0,0.0,850.0,0.0,0.0
2033,0.0,0.0,850.0,0.0,0.0
2186,0.0,0.0,836.0,0.0,0.0
3010,0.0,0.0,1833.0,0.0,0.0
2550,0.0,0.0,1820.0,0.0,0.0
2771,0.0,0.0,826.0,0.0,0.0
2679,0.0,0.0,851.0,0.0,0.0
3768,0.0,0.0,837.0,0.0,0.0
3914,0.0,0.0,844.0,0.0,0.0
3135,0.0,0.0,835.0,0.0,0.0
3770,0.0,0.0,831.0,0.0,0.0
3028,0.0,0.0,834.0,0.0,0.0
3704,0.0,0.0,822.0,0.0,0.0
2126,0.0,0.0,842.0,0.0,0.0
3180,0.0,0.0,824.0,0.0,0.0
3209,0.0,0.0,850.0,0.0,0.0
3551,0.0,0.0,847.0,0.0,0.0
2196,0.0,0.0,831.0,0.0,0.0
2681,0.0,0.0,827.0,0.0,0.0
3412,0.0,0.0,834.0,0.0,0.0
2596,0.0,0.0,1827.0,0.0,0.0
2657,0.0,0.0,815.0,0.0,0.0
2945,0.0,0.0,838.0,0.0,0.0
3416,0.0,0.0,836.0,0.0,0.0
3449,0.0,0.0,841.0,0.0,0.0
2817,0.0,0.0,822.0,0.0,0.0
3653,0.0,0.0,845.0,0.0,0.0
3235,0.0,0.0,808.0,0.0,0.0
3967,0.0,0.0,843.0,0.0,0.0
2729,0.0,0.0,836.0,0.0,0.0
3275,0.0,0.0,829.0,0.0,0.0
2753,0.0,0.0,833.0,0.0,0.0
3068,0.0,0.0,1833.0,0.0,0.0
3227,0.0,0.0,832.0,0.0,0.0
3375,0.0,0.0,817.0,0.0,0.0
3402,0.0,0.0,846.0,0.0,0.0
2838,0.0,0.0,834.0,0.0,0.0
2923,0.0,0.0,846.0,0.0,0.0
2526,0.0,0.0,835.0,0.0,0.0
3339,0.0,0.0,832.0,0.0,0.0
3655,0.0,0.0,841.0,0.0,0.0
2832,0.0,0.0,834.0,0.0,0.0
2267,0.0,0.0,829.0,0.0,0.0
2250,0.0,0.0,831.0,0.0,0.0
3300,0.0,0.0,846.0,0.0,0.0
2408,0.0,0.0,836.0,0.0,0.0
2117,0.0,0.0,839.0,0.0,0.0
3543,0.0,0.0,813.0,0.0,0.0
3695,0.0,0.0,833.0,0.0,0.0
3562,0.0,0.0,848.0,0.0,0.0
2184,0.0,0.0,831.0,0.0,0.0
3734,0.0,0.0,1835.0,0.0,0.0
2781,0.0,0.0,828.0,0.0,0.0
2765,0.0,0.0,841.0,0.0,0.0
2437,0.0,0.0,832.0,0.0,0.0
3859,0.0,0.0,834.0,0.0,0.0
2195,0.0,0.0,847.0,0.0,0.0
3425,0.0,0.0,833.0,0.0,0.0
2484,0.0,0.0,1821.0,0.0,0.0
2066,0.0,0.0,1820.0,0.0,0.0
2511,0.0,0.0,819.0,0.0,0.0
3058,0.0,0.0,831.0,0.0,0.0
3311,0.0,0.0,847.0,0.0,0.0
2571,0.0,0.0,1832.0,0.0,0.0
3349,0.0,0.0,836.0,0.0,0.0
2984,0.0,0.0,846.0,0.0,0.0
2996,0.0,0.0,824.0,0.0,0.0
3489,0.0,0.0,824.0,0.0,0.0
3723,0.0,0.0,830.0,0.0,0.0
3236,0.0,0.0,825.0,0.0,0.0
3738,0.0,0.0,845.0,0.0,0.0
3893,0.0,0.0,842.0,0.0,0.0
3571,0.0,0.0,837.0,0.0,0.0
3123,0.0,0.0,833.0,0.0,0.0
3575,0.0,0.0,836.0,0.0,0.0
3013,0.0,0.0,830.0,0.0,0.0
2718,0.0,0.0,828.0,0.0,0.0
3340,0.0,0.0,830.0,0.0,0.0
2338,0.0,0.0,834.0,0.0,0.0
3812,0.0,0.0,825.0,0.0,0.0
3044,0.0,0.0,822.0,0.0,0.0
3011,0.0,0.0,823.0,0.0,0.0
2082,0.0,0.0,844.0,0.0,0.0
2545,0.0,0.0,839.0,0.0,0.0
3178,0.0,0.0,846.0,0.0,0.0
2309,0.0,0.0,838.0,0.0,0.0
2566,0.0,0.0,833.0,0.0,0.0
2733,0.0,0.0,840.0,0.0,0.0
2343,0.0,0.0,809.0,0.0,0.0
3724,0.0,0.0,837.0,0.0,0.0
2959,0.0,0.0,836.0,0.0,0.0
3932,0.0,0.0,831.0,0.0,0.0
2998,0.0,0.0,843.0,0.0,0.0
3183,0.0,0.0,836.0,0.0,0.0
3336,0.0,0.0,833.0,0.0,0.0
3296,0.0,0.0,848.0,0.0,0.0
2558,0.0,0.0,832.0,0.0,0.0
2869,0.0,0.0,836.0,0.0,0.0
2830,0.0,0.0,848.0,0.0,0.0
2163,0.0,0.0,839.0,0.0,0.0
2917,0.0,0.0,839.0,0.0,0.0
2112,0.0,0.0,826.0,0.0,0.0
3895,0.0,0.0,822.0,0.0,0.0
2312,0.0,0.0,837.0,0.0,0.0
3957,0.0,0.0,855.0,0.0,0.0
3210,0.0,0.0,838.0,0.0,0.0
3457,0.0,0.0,1834.0,0.0,0.0
