,x1,x2
2475,1.2,-0.0
3176,2.9,-0.0
2582,0.1,2.3
2682,0.5,2.1
3275,0.9,-0.0
2384,0.1,1.3
2901,1.7,-0.0
2813,0.8,-0.0
2999,0.8,2.1
2134,1.1,0.0
2534,1.3,-0.0
2561,0.1,2.1
3008,1.7,0.0
2586,0.8,-0.0
3583,0.7,0.0
2295,1.3,2.6
3909,2.4,-0.0
3078,1.3,3.3
2100,0.6,-0.0
3415,2.2,-0.0
2847,1.2,0.0
2674,1.3,2.6
2923,1.4,-0.0
3035,3.4,2.8
3920,0.5,0.0
3334,2.0,2.6
2883,1.5,0.0
3025,1.3,0.6
3519,1.3,0.0
2309,0.7,-0.0
3162,1.0,3.0
3492,0.5,-0.0
2241,0.9,2.1
2578,1.4,0.3
2321,1.8,-0.0
2594,0.7,-0.0
2655,1.3,0.0
2704,0.5,3.1
3299,1.6,0.0
3625,1.1,4.1
3885,2.3,0.2
2313,2.6,0.0
3797,1.4,-0.0
2530,1.0,0.0
3820,0.9,0.0
2708,0.8,0.0
3385,0.9,0.0
3950,0.5,-0.0
3165,1.0,-0.0
3041,0.9,4.2
3358,1.7,-0.0
3788,2.1,0.0
3154,0.9,0.0
2153,1.3,0.0
3243,0.9,-0.0
3593,0.7,-0.0
3410,1.1,0.0
2006,0.0,2.1
3409,2.3,1.8
3975,1.0,4.7
3857,1.5,0.0
3205,2.2,0.0
2066,1.5,2.6
2144,1.3,0.0
2370,0.9,3.1
2120,1.3,-0.0
3147,0.4,1.8
2814,1.2,-0.0
2970,1.3,0.0
3911,0.8,-0.0
2437,2.3,0.0
3569,0.8,-0.0
3989,0.1,1.4
2258,1.2,0.0
3955,0.9,0.0
2679,1.1,0.0
2084,1.8,0.0
2051,1.8,1.7
2104,1.4,-0.0
3014,1.0,0.0
3127,1.5,-0.0
2781,0.7,-0.0
2678,1.5,-0.0
3843,1.0,0.0
3327,2.4,0.0
2361,2.2,0.0
3932,-0.0,2.1
3657,0.7,3.1
2726,1.9,1.8
2331,3.2,4.7
2299,0.6,0.0
2094,1.4,2.6
2216,1.1,0.0
3938,1.6,0.0
3762,1.3,2.1
3469,1.2,-0.0
3455,0.8,0.0
2445,1.3,-0.0
2274,2.2,-0.0
2957,0.5,-0.0
3208,1.8,-0.0
2435,1.3,0.9
2828,0.2,1.3
2917,1.4,0.0
3782,0.5,0.0
2980,1.4,2.3
3986,0.4,1.8
3063,2.1,-0.0
3692,2.1,1.8
2667,0.5,2.1
3536,1.0,-0.0
3364,0.3,2.3
3682,0.9,1.8
2631,1.7,0.0
2428,2.6,2.3
2011,0.8,-0.0
3783,2.6,1.9
2079,2.7,4.2
2639,1.5,2.1
3611,0.4,1.4
2763,2.1,0.0
2221,0.5,0.0
2542,0.6,0.0
2382,0.1,2.1
2376,1.1,0.0
2916,0.9,0.0
2899,0.8,2.6
3939,0.5,2.1
2946,0.6,-0.0
2526,1.0,-0.0
3454,1.9,1.8
2844,1.2,0.0
2085,1.1,0.0
3837,0.6,-0.0
2972,1.7,0.0
3155,0.4,2.6
3336,1.6,-0.0
3713,0.7,2.1
2512,0.1,3.2
3190,0.3,3.1
2805,1.4,0.0
3137,1.9,0.0
2506,0.5,3.1
3111,0.9,0.0
2072,1.4,-0.0
3343,0.9,2.1
3914,0.9,0.0
2327,1.8,2.1
3961,1.4,-0.0
2647,1.3,-0.0
2645,1.3,-0.0
2336,1.1,3.6
3853,0.5,-0.0
3109,1.0,-0.0
2775,0.9,0.0
3347,1.5,0.0
3817,1.0,-0.0
3226,0.2,2.1
2660,-0.0,3.1
3656,1.5,0.0
2151,3.1,0.0
3778,2.0,0.0
2806,0.9,-0.0
3442,1.6,0.0
3207,1.5,3.5
2762,1.5,-0.0
2598,1.0,2.1
2626,2.0,4.0
3768,0.5,-0.0
3842,0.7,-0.0
2387,0.7,0.0
2919,1.8,2.6
3771,1.5,-0.0
3246,1.1,-0.0
2227,1.1,0.0
2755,1.2,-0.0
3350,0.2,3.3
2064,0.0,1.8
2866,1.6,-0.0
2275,1.6,-0.0
2287,1.3,3.1
3787,0.5,1.4
2772,0.1,1.8
2119,0.9,0.8
2713,1.8,3.5
2815,1.0,-0.0
3659,0.7,0.4
2892,2.0,-0.0
3571,1.1,-0.0
2888,1.3,0.0
3032,0.9,0.0
3139,1.3,-0.0
2433,2.0,-0.0
2565,1.0,-0.0
3309,0.6,0.0
2270,0.6,0.0
3516,0.4,0.0
3667,2.3,0.0
3033,1.9,2.6
3090,0.8,-0.0
