,years_experience,degree
2358,0.0,2.0
2018,2.0,1.0
2988,0.0,1.0
3746,0.0,3.0
2985,0.0,1.0
2185,1.0,0.0
3542,0.0,1.0
2970,1.0,1.0
2800,1.0,0.0
3586,0.0,1.0
2904,0.0,3.0
2289,0.0,1.0
2803,3.0,0.0
3237,0.0,2.0
3182,0.0,3.0
3298,0.0,2.0
2590,0.0,2.0
3118,2.0,0.0
2496,0.0,3.0
3851,0.0,3.0
2742,0.0,1.0
3882,1.0,1.0
3932,2.0,1.0
2138,3.0,0.0
3392,0.0,2.0
2087,1.0,1.0
3221,1.0,0.0
2588,0.0,2.0
3949,1.0,2.0
2900,2.0,1.0
2719,0.0,3.0
3897,0.0,2.0
3148,0.0,1.0
3699,0.0,1.0
2725,0.0,2.0
2551,0.0,3.0
3258,0.0,1.0
3291,0.0,1.0
3503,0.0,3.0
2382,0.0,2.0
3288,3.0,0.0
3004,0.0,3.0
2533,0.0,1.0
2976,1.0,0.0
2328,1.0,1.0
2717,0.0,3.0
3312,1.0,0.0
3422,0.0,2.0
2440,0.0,3.0
2354,2.0,1.0
3154,0.0,1.0
3638,0.0,1.0
3646,1.0,1.0
2187,1.0,1.0
3510,3.0,0.0
2972,0.0,1.0
3662,1.0,0.0
3366,0.0,2.0
2463,1.0,0.0
2602,2.0,1.0
3059,1.0,1.0
2776,0.0,2.0
2869,0.0,2.0
3648,0.0,2.0
3830,0.0,3.0
3139,0.0,3.0
2259,1.0,0.0
3351,2.0,0.0
2628,0.0,2.0
3347,0.0,1.0
3064,0.0,1.0
2006,0.0,1.0
2771,0.0,2.0
2282,0.0,1.0
3048,0.0,3.0
3285,0.0,1.0
2413,2.0,0.0
2980,1.0,0.0
2053,0.0,3.0
2061,1.0,1.0
3957,1.0,1.0
3513,2.0,0.0
2175,1.0,1.0
2837,0.0,2.0
3705,2.0,0.0
3886,1.0,1.0
3751,1.0,1.0
3420,0.0,1.0
2531,2.0,0.0
3361,1.0,1.0
2245,0.0,3.0
3506,1.0,0.0
3045,1.0,0.0
3098,2.0,1.0
3136,0.0,1.0
3564,0.0,2.0
3613,0.0,2.0
3474,0.0,3.0
2083,0.0,2.0
3179,0.0,2.0
2144,1.0,0.0
2034,1.0,1.0
3529,0.0,3.0
3189,0.0,3.0
3784,0.0,2.0
2636,0.0,1.0
2011,2.0,0.0
3115,0.0,2.0
2261,0.0,2.0
3292,2.0,0.0
3077,1.0,0.0
3443,2.0,1.0
2416,3.0,0.0
3864,2.0,0.0
2360,0.0,1.0
3364,1.0,0.0
2167,0.0,2.0
2872,0.0,2.0
3879,0.0,3.0
2850,2.0,1.0
3909,1.0,0.0
3131,0.0,2.0
2165,0.0,3.0
2139,0.0,3.0
3418,0.0,2.0
2451,1.0,1.0
3208,2.0,1.0
3588,2.0,0.0
2947,0.0,1.0
3544,0.0,1.0
3218,0.0,1.0
2568,1.0,1.0
3120,0.0,1.0
2755,0.0,3.0
3161,1.0,1.0
2380,1.0,0.0
3939,0.0,2.0
3946,2.0,0.0
3497,0.0,2.0
2323,0.0,3.0
2014,0.0,1.0
2955,3.0,0.0
2899,0.0,2.0
2660,0.0,2.0
2645,0.0,1.0
3026,0.0,1.0
3097,0.0,3.0
2770,0.0,3.0
2931,0.0,3.0
3558,0.0,1.0
3759,0.0,3.0
3643,0.0,2.0
2852,0.0,3.0
3875,1.0,0.0
2794,0.0,1.0
3227,0.0,3.0
2874,1.0,0.0
2747,1.0,0.0
2994,0.0,1.0
2511,0.0,3.0
2866,3.0,0.0
3272,0.0,3.0
2063,0.0,3.0
3900,1.0,1.0
3847,1.0,1.0
2665,2.0,0.0
3703,0.0,3.0
2958,0.0,1.0
2739,1.0,0.0
2096,1.0,1.0
2948,0.0,1.0
3940,0.0,2.0
2555,0.0,1.0
3859,0.0,2.0
3282,0.0,3.0
2387,1.0,0.0
3942,3.0,0.0
2922,0.0,2.0
3447,1.0,0.0
3527,1.0,1.0
3861,2.0,0.0
2304,0.0,2.0
3593,1.0,0.0
2162,0.0,2.0
3467,3.0,0.0
3962,0.0,1.0
2934,0.0,2.0
3634,3.0,0.0
3590,0.0,1.0
2433,0.0,1.0
3921,1.0,0.0
2732,0.0,2.0
3763,0.0,0.0
3008,0.0,2.0
2797,0.0,3.0
3850,0.0,2.0
2111,1.0,0.0
2729,0.0,3.0
3984,0.0,3.0
2993,1.0,1.0
