,y
2277,1.0
2529,1.0
2220,1.0
2180,0.0
3769,0.0
3014,0.0
3113,1.0
3677,1.0
3927,1.0
3315,1.0
3969,0.0
2335,1.0
3084,1.0
2937,1.0
3976,1.0
3020,0.0
3056,1.0
2992,0.0
3778,0.0
2002,0.0
3467,1.0
3613,1.0
2993,1.0
2882,1.0
3107,1.0
3078,0.0
2785,1.0
2931,1.0
2638,1.0
3841,1.0
3308,1.0
2437,1.0
3822,1.0
3935,1.0
3429,1.0
2885,1.0
3964,1.0
2744,0.0
2637,1.0
2483,1.0
3706,0.0
2185,1.0
2102,0.0
2524,1.0
2987,1.0
3466,1.0
3735,1.0
2596,1.0
3587,0.0
2525,1.0
3664,1.0
3356,1.0
3138,1.0
2116,1.0
3010,1.0
2158,1.0
3346,1.0
2021,0.0
3546,0.0
3569,1.0
2060,1.0
3790,1.0
2493,0.0
3151,1.0
3251,1.0
3636,1.0
3751,1.0
2989,0.0
2137,0.0
2468,0.0
2594,0.0
3402,1.0
2309,1.0
3626,0.0
3257,1.0
3473,1.0
2848,1.0
3168,1.0
3712,1.0
2869,1.0
2473,1.0
3281,1.0
2167,1.0
2502,0.0
2421,0.0
3366,1.0
2338,0.0
2119,0.0
3933,1.0
2818,1.0
3538,1.0
3746,1.0
2043,0.0
3518,0.0
3846,1.0
2898,1.0
3541,0.0
3592,1.0
2061,0.0
3952,0.0
2135,1.0
3759,1.0
3615,1.0
3255,1.0
3532,0.0
3462,1.0
2812,0.0
2379,1.0
2748,1.0
2893,1.0
3169,1.0
2729,1.0
3302,1.0
2362,0.0
3631,1.0
3651,1.0
3108,0.0
3369,1.0
2191,1.0
2244,1.0
3641,1.0
2187,0.0
2959,1.0
3610,1.0
2398,0.0
2115,0.0
2512,1.0
3516,1.0
3831,1.0
3883,1.0
2809,1.0
3493,1.0
2183,1.0
2833,0.0
3091,0.0
2411,1.0
3995,1.0
3843,1.0
3225,1.0
3607,1.0
3993,0.0
2511,1.0
2056,1.0
2859,1.0
3832,1.0
2741,1.0
2083,1.0
2026,1.0
3966,1.0
3320,1.0
3757,1.0
2806,1.0
2576,1.0
3659,1.0
3209,1.0
2162,1.0
3595,1.0
3702,1.0
3514,1.0
2880,1.0
2123,0.0
3339,0.0
2069,0.0
3652,1.0
3551,1.0
2126,1.0
3833,1.0
3729,1.0
2349,1.0
2234,1.0
3850,1.0
3931,1.0
2904,1.0
2475,1.0
2520,0.0
3635,1.0
2866,1.0
2312,0.0
2675,0.0
3008,1.0
2844,1.0
2641,1.0
3386,1.0
2889,1.0
3002,1.0
2837,1.0
3354,1.0
3701,1.0
3616,0.0
3178,1.0
2770,1.0
3053,1.0
3782,1.0
3041,1.0
2661,1.0
3774,0.0
3907,1.0
2206,1.0
3243,1.0
2997,1.0
