,perc_recomm_found,gamma,eta,gamma_obs,gamma_obs_pre,eta_obs,eta_obs_individualized,costs,lbd,thresh,r_type,t_type,iteration,model_coef,eta_obs_refits_batch0_mean,intv-cost
0,0.955,0.75,0.75,0.7591623067855835,0.0,0.7591623036649214,0.7591623036649214,"[1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,improvement,2,,0.7591623067855835,1.2596858638743451
1,1.0,0.75,0.75,0.014999999664723873,0.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,acceptance,2,,0.9940000772476196,0.5530000000000003
2,1.0,0.75,0.75,0.0,0.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,counterfactual,2,,0.9950000047683716,0.5525000000000002
3,0.95,0.75,0.75,0.5368421077728271,0.0,0.5368421052631579,,"[1.0, 1.0, 1.0, 1.0]",2999.0,0.5,subpopulation,improvement,2,,0.5368421077728271,1.1178947368421046
4,1.0,0.75,0.75,0.0,0.0,0.925,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,subpopulation,acceptance,2,,0.9190000295639038,0.49349999999999994
5,0.96,0.75,0.75,0.7760416865348816,0.0,0.7760416666666666,0.7760416666666666,"[1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,improvement,1,,0.7760416865348816,1.2348958333333333
6,1.0,0.75,0.75,0.004999999888241291,0.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,acceptance,1,,0.9909999966621399,0.5179999999999998
7,1.0,0.75,0.75,0.009999999776482582,0.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,counterfactual,1,,0.9930000305175781,0.5555000000000001
8,0.94,0.75,0.75,0.5957446694374084,0.0,0.5957446808510638,,"[1.0, 1.0, 1.0, 1.0]",2999.0,0.5,subpopulation,improvement,1,,0.5957446694374084,1.0574468085106377
9,1.0,0.75,0.75,0.014999999664723873,0.0,0.925,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,subpopulation,acceptance,1,,0.9199999570846558,0.5089999999999999
10,0.95,0.75,0.75,0.821052610874176,0.0,0.8210526315789474,0.8210526315789474,"[1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,improvement,0,,0.8210526704788208,1.2378947368421052
11,1.0,0.75,0.75,0.0,0.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,acceptance,0,,0.9829999804496765,0.5675000000000001
12,1.0,0.75,0.75,0.0,0.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,counterfactual,0,,0.9859999418258667,0.576
13,0.955,0.75,0.75,0.5654450058937073,0.0,0.5654450261780105,,"[1.0, 1.0, 1.0, 1.0]",2999.0,0.5,subpopulation,improvement,0,,0.5654450058937073,1.01937172774869
14,1.0,0.75,0.75,0.019999999552965164,0.0,0.89,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,subpopulation,acceptance,0,,0.8739999532699585,0.4844999999999999
