,years_experience,degree
3984,0.0,2.0
2742,0.0,1.0
2528,0.0,1.0
2945,1.0,1.0
2531,1.0,1.0
3497,0.0,2.0
3706,1.0,1.0
3124,0.0,3.0
3045,1.0,0.0
3232,1.0,1.0
2374,0.0,1.0
2599,1.0,0.0
2778,0.0,1.0
2719,0.0,3.0
3467,0.0,3.0
2725,0.0,2.0
2551,0.0,3.0
2929,0.0,3.0
2628,0.0,2.0
2075,0.0,1.0
3110,0.0,2.0
2434,0.0,2.0
3285,0.0,1.0
3059,1.0,1.0
3629,1.0,0.0
3084,1.0,0.0
3825,1.0,1.0
3514,0.0,2.0
3186,0.0,3.0
2711,0.0,2.0
2442,0.0,1.0
3129,0.0,3.0
3375,0.0,1.0
2350,0.0,2.0
3841,1.0,0.0
3905,1.0,1.0
3525,0.0,1.0
3327,1.0,0.0
3705,1.0,1.0
2946,2.0,1.0
3005,0.0,2.0
2825,1.0,0.0
3827,1.0,1.0
3784,0.0,2.0
3003,0.0,1.0
3594,1.0,0.0
3989,0.0,1.0
3194,0.0,2.0
3041,0.0,3.0
2756,2.0,0.0
2555,0.0,1.0
2111,1.0,0.0
2494,0.0,1.0
2185,0.0,1.0
3993,0.0,3.0
2388,1.0,0.0
3484,0.0,1.0
3584,0.0,1.0
3724,0.0,3.0
3590,0.0,1.0
2571,0.0,0.0
3646,0.0,1.0
3812,2.0,0.0
2776,0.0,2.0
2324,0.0,2.0
3765,0.0,2.0
3890,0.0,3.0
2824,1.0,1.0
3387,0.0,1.0
3195,3.0,0.0
2524,0.0,2.0
2850,0.0,2.0
3310,0.0,3.0
3855,0.0,2.0
2994,0.0,1.0
3139,0.0,2.0
2176,0.0,1.0
2327,0.0,3.0
2226,0.0,2.0
3642,0.0,2.0
3272,0.0,3.0
3299,0.0,2.0
2454,1.0,0.0
2341,1.0,1.0
2074,0.0,3.0
3935,0.0,1.0
3648,2.0,0.0
2306,2.0,0.0
2390,0.0,2.0
3443,0.0,3.0
3615,1.0,0.0
3509,0.0,1.0
3649,0.0,2.0
3946,0.0,2.0
2879,2.0,0.0
2688,2.0,0.0
3418,2.0,0.0
2193,0.0,3.0
2018,0.0,3.0
2172,0.0,1.0
3090,0.0,3.0
3108,0.0,1.0
3313,0.0,1.0
3923,0.0,2.0
2993,2.0,0.0
3667,1.0,0.0
2874,1.0,0.0
2006,0.0,1.0
2449,1.0,0.0
3799,0.0,3.0
2765,0.0,1.0
3810,2.0,0.0
2840,0.0,2.0
2657,2.0,1.0
2123,0.0,1.0
3538,0.0,2.0
2207,2.0,1.0
3928,1.0,0.0
2120,0.0,1.0
3888,2.0,0.0
3517,0.0,2.0
3527,0.0,2.0
2168,1.0,0.0
3093,2.0,1.0
3167,3.0,0.0
3701,0.0,2.0
3915,0.0,1.0
2152,0.0,1.0
3060,2.0,0.0
3968,2.0,1.0
3158,0.0,1.0
3662,0.0,1.0
3959,0.0,1.0
2836,1.0,0.0
3889,1.0,1.0
3182,0.0,3.0
2157,1.0,1.0
3748,0.0,1.0
2260,1.0,1.0
3131,0.0,2.0
3613,2.0,0.0
3665,1.0,0.0
2421,1.0,0.0
2317,0.0,2.0
3447,1.0,0.0
2289,1.0,0.0
3255,1.0,1.0
2869,0.0,1.0
2245,0.0,3.0
2126,0.0,3.0
2272,1.0,0.0
2410,1.0,0.0
3933,0.0,3.0
3506,1.0,0.0
3743,2.0,0.0
3839,3.0,0.0
3297,1.0,1.0
3404,0.0,1.0
3564,2.0,0.0
3987,1.0,1.0
3225,1.0,0.0
3370,0.0,2.0
3298,0.0,3.0
2797,0.0,3.0
2948,1.0,0.0
2262,2.0,0.0
3544,0.0,1.0
3362,1.0,0.0
2286,0.0,1.0
2880,0.0,2.0
2497,3.0,0.0
3098,0.0,2.0
2656,0.0,3.0
3427,0.0,1.0
2703,0.0,1.0
3792,0.0,3.0
2532,2.0,0.0
3970,0.0,3.0
2626,0.0,1.0
2214,0.0,1.0
3749,0.0,1.0
2096,0.0,2.0
2662,0.0,2.0
2732,0.0,2.0
2827,0.0,3.0
3751,2.0,0.0
3168,1.0,2.0
3154,0.0,1.0
3067,1.0,0.0
2023,2.0,0.0
3522,0.0,1.0
3932,0.0,3.0
3599,0.0,2.0
3048,3.0,0.0
3814,0.0,2.0
2941,1.0,1.0
2557,0.0,1.0
2015,0.0,1.0
3171,0.0,2.0
3198,1.0,1.0
