,y
2441,0.0
3803,1.0
3352,1.0
3369,0.0
2848,1.0
3101,1.0
3552,1.0
3388,1.0
3770,0.0
3917,1.0
2019,1.0
2579,1.0
2200,1.0
3434,1.0
3657,0.0
3906,1.0
2979,0.0
2773,0.0
3413,1.0
3778,1.0
3212,1.0
3733,1.0
2997,1.0
3551,1.0
3522,0.0
3469,1.0
2847,1.0
2320,1.0
2011,0.0
2177,1.0
2670,1.0
3054,1.0
3723,1.0
3008,1.0
2851,0.0
3310,1.0
3704,1.0
3564,0.0
3767,1.0
3420,1.0
2052,1.0
3266,1.0
3889,0.0
3732,1.0
3975,1.0
3351,0.0
2810,1.0
2021,1.0
3833,1.0
3256,1.0
3690,0.0
3049,1.0
3373,1.0
2500,1.0
3390,1.0
2768,1.0
3058,1.0
2792,0.0
2559,1.0
3866,1.0
2709,1.0
2285,0.0
2443,1.0
2409,0.0
2618,1.0
3367,1.0
3380,1.0
3474,1.0
3508,1.0
3943,1.0
2855,0.0
2593,1.0
3812,0.0
2915,1.0
3261,0.0
2275,1.0
2456,1.0
3827,0.0
2483,1.0
3720,0.0
2633,0.0
2255,1.0
2547,1.0
2153,0.0
2993,1.0
3853,1.0
3109,1.0
2105,1.0
2032,0.0
2158,1.0
3141,1.0
2723,1.0
2288,0.0
3654,0.0
3160,1.0
3711,1.0
3051,1.0
3093,1.0
2574,1.0
3537,1.0
3914,1.0
3123,1.0
2258,0.0
2358,1.0
2876,1.0
2886,1.0
2381,1.0
3965,1.0
3701,1.0
2798,0.0
3317,1.0
3368,1.0
3319,0.0
2223,0.0
3547,1.0
2999,1.0
2109,0.0
2395,1.0
2538,0.0
2680,1.0
2787,1.0
2471,1.0
2294,1.0
2601,1.0
3507,1.0
2449,0.0
3754,1.0
2399,1.0
3590,0.0
3774,1.0
2028,1.0
3635,0.0
3549,1.0
3456,1.0
3945,1.0
3758,0.0
2033,1.0
2969,1.0
3330,1.0
3155,1.0
2675,1.0
2269,1.0
2863,1.0
3984,1.0
3028,1.0
3033,0.0
3273,1.0
2672,0.0
2125,1.0
3400,0.0
3487,0.0
2365,1.0
3463,1.0
3838,1.0
3391,1.0
2411,1.0
3003,1.0
2206,1.0
3056,1.0
2541,1.0
3691,0.0
2651,1.0
2890,1.0
2881,1.0
2139,1.0
3582,1.0
3651,1.0
3295,1.0
3106,0.0
3299,1.0
2586,1.0
2376,0.0
3221,1.0
3384,0.0
2237,1.0
2081,1.0
2142,1.0
2819,0.0
2703,1.0
2374,1.0
2931,1.0
2366,0.0
3640,0.0
2489,0.0
2989,0.0
3597,1.0
3826,1.0
2346,1.0
2440,1.0
2259,1.0
2349,1.0
2418,1.0
2908,0.0
3076,1.0
3149,0.0
3628,1.0
2136,1.0
3065,1.0
2369,1.0
2494,0.0
