,y_hat
3701,False
3399,False
2005,False
3056,False
2666,False
2672,False
2065,False
3976,False
2776,False
2147,False
3530,False
3599,False
3587,False
2832,False
2621,False
3070,False
3601,False
3174,False
3867,False
3157,False
2574,False
2648,False
3854,False
3277,False
3830,False
2876,False
3607,False
2642,False
2177,False
2097,False
3223,False
3604,False
3009,False
2389,False
2523,False
3379,False
3170,False
3201,False
2838,False
3862,False
2190,False
2470,False
3672,False
3953,False
3889,False
3021,False
2262,False
2758,False
2593,False
2242,False
2884,False
2438,False
3164,False
3439,False
3365,False
2745,False
3237,False
2051,False
3167,False
2183,False
3552,False
3204,False
3052,False
3063,False
2251,False
3114,False
3079,False
3051,False
2882,False
3447,False
2612,False
2343,False
3794,False
2332,False
3806,False
2679,False
3540,False
3829,False
2520,False
2829,False
2248,False
3180,False
3066,False
3916,False
3375,False
3753,False
2979,False
3301,False
3452,False
3112,False
2662,False
2328,False
2046,False
2723,False
3772,False
3348,False
2370,False
2850,False
2378,False
2060,False
2395,False
2348,False
2131,False
3260,False
2736,False
3502,False
3765,False
2532,False
3948,False
3855,False
3363,False
2996,False
2050,False
3841,False
3480,False
3538,False
2985,False
2316,False
2959,False
2598,False
2687,False
3510,False
3290,False
2551,False
3323,False
2615,False
3320,False
2772,False
2963,False
3326,False
2208,False
2468,False
3870,False
3045,False
3385,False
3265,False
3366,False
3369,False
3166,False
2654,False
3034,False
3254,False
3679,False
3939,False
2334,False
2031,False
2951,False
2259,False
3594,False
3692,False
2282,False
2586,False
2926,False
2329,False
2013,False
2600,False
2432,False
2777,False
3219,False
2326,False
3681,False
3961,False
3108,False
3636,False
3055,False
3651,False
2856,False
3796,False
3566,False
3884,False
3649,False
3769,False
2256,False
2269,False
3839,False
2286,False
3641,False
2494,False
2488,False
2938,False
2806,False
3319,False
2307,False
2944,False
3486,False
3028,False
2414,False
3702,False
2820,False
3974,False
2700,False
2646,False
2303,False
2638,False
3150,False
2406,False
2267,False
2974,False
3337,False
2171,False
