,y
3254,0.0
3234,0.0
2745,0.0
2190,0.0
3759,0.0
2866,0.0
2006,1.0
2772,0.0
2188,0.0
3694,0.0
3020,1.0
3798,1.0
2720,0.0
3878,0.0
2132,0.0
3210,0.0
2277,0.0
3331,0.0
3848,0.0
3635,0.0
2206,1.0
3760,0.0
2424,1.0
3899,0.0
3417,0.0
3569,0.0
2600,1.0
3933,1.0
2899,1.0
3304,0.0
3962,0.0
3026,0.0
3915,0.0
3837,1.0
3427,0.0
2712,0.0
3943,0.0
2776,0.0
3246,0.0
2928,0.0
2111,1.0
2523,0.0
3114,0.0
3527,0.0
2155,1.0
2742,0.0
2610,0.0
3849,0.0
3932,1.0
2758,0.0
2446,0.0
2863,1.0
2494,0.0
3295,1.0
2208,0.0
3740,0.0
3509,0.0
3221,1.0
3056,0.0
3032,1.0
3228,0.0
2135,1.0
3175,1.0
3921,0.0
2087,1.0
3060,1.0
2163,0.0
3937,0.0
3830,0.0
2505,0.0
2702,0.0
3682,1.0
2607,1.0
2336,0.0
3393,0.0
2989,0.0
2167,0.0
3379,0.0
3661,0.0
2649,0.0
2930,1.0
2456,0.0
3938,1.0
2403,0.0
3452,1.0
3914,1.0
2912,0.0
3456,0.0
3696,0.0
3402,1.0
3058,0.0
3685,0.0
2528,0.0
3855,0.0
2356,0.0
3264,0.0
2812,0.0
2268,0.0
3354,0.0
3596,0.0
2990,0.0
3265,0.0
3946,0.0
3367,0.0
2923,0.0
2191,1.0
3301,1.0
2592,0.0
3789,0.0
3918,0.0
3790,0.0
3429,0.0
3714,1.0
2877,0.0
2400,0.0
2685,0.0
3895,1.0
3686,0.0
3398,0.0
2309,0.0
3500,0.0
3744,1.0
3022,0.0
2976,0.0
2672,1.0
3818,1.0
2861,1.0
3351,1.0
3804,0.0
3726,1.0
3129,0.0
2158,1.0
3208,1.0
3973,0.0
2944,1.0
2207,1.0
3459,0.0
2855,0.0
2123,0.0
2025,0.0
2482,0.0
2389,0.0
3537,1.0
2015,0.0
2219,1.0
2283,0.0
2245,0.0
2086,1.0
2504,0.0
3074,0.0
2392,0.0
3647,0.0
3454,1.0
3672,0.0
3540,0.0
3829,0.0
2951,0.0
2991,0.0
2596,0.0
2130,0.0
3519,0.0
2345,0.0
3556,1.0
3764,1.0
2678,0.0
3285,0.0
2906,0.0
3533,0.0
2874,0.0
3729,0.0
3118,0.0
3662,1.0
3146,0.0
2409,0.0
3286,1.0
3440,0.0
3031,0.0
2517,1.0
3736,0.0
2845,0.0
2934,1.0
2741,1.0
2290,0.0
2981,0.0
2616,0.0
2098,0.0
3845,1.0
2282,0.0
2784,0.0
2095,1.0
2422,1.0
2091,1.0
2049,0.0
2102,0.0
2387,0.0
3131,0.0
2121,0.0
2913,0.0
2435,0.0
2065,0.0
