,years_experience,degree,nr_commits,nr_languages,nr_stars
2177,0.0,0.0,829.0,0.0,0.0
3280,0.0,0.0,833.0,0.0,0.0
2178,0.0,0.0,821.0,0.0,0.0
2336,0.0,0.0,822.0,0.0,0.0
2094,0.0,0.0,817.0,0.0,0.0
3021,0.0,0.0,834.0,0.0,0.0
2239,0.0,0.0,842.0,0.0,0.0
3971,0.0,0.0,849.0,0.0,0.0
3047,0.0,0.0,828.0,0.0,0.0
3260,0.0,0.0,1828.0,0.0,0.0
3847,0.0,0.0,828.0,0.0,0.0
3275,0.0,0.0,824.0,0.0,0.0
2219,0.0,0.0,805.0,0.0,0.0
3850,0.0,0.0,828.0,0.0,0.0
3921,0.0,0.0,833.0,0.0,0.0
3110,0.0,0.0,831.0,0.0,0.0
3554,0.0,0.0,829.0,0.0,0.0
3419,0.0,0.0,832.0,0.0,0.0
3170,0.0,0.0,831.0,0.0,0.0
2269,0.0,0.0,826.0,0.0,0.0
2012,0.0,0.0,835.0,0.0,0.0
3014,0.0,0.0,843.0,0.0,0.0
3515,0.0,0.0,832.0,0.0,0.0
3580,0.0,0.0,812.0,0.0,0.0
2445,0.0,0.0,836.0,0.0,0.0
3725,0.0,0.0,832.0,0.0,0.0
2301,0.0,0.0,835.0,0.0,0.0
2265,0.0,0.0,834.0,0.0,0.0
3518,0.0,0.0,827.0,0.0,0.0
3464,0.0,0.0,828.0,0.0,0.0
2699,0.0,0.0,827.0,0.0,0.0
2071,0.0,0.0,812.0,0.0,0.0
2594,0.0,0.0,1823.0,0.0,0.0
3779,0.0,0.0,843.0,0.0,0.0
3503,0.0,0.0,847.0,0.0,0.0
2371,0.0,0.0,846.0,0.0,0.0
3500,0.0,0.0,833.0,0.0,0.0
2085,0.0,0.0,832.0,0.0,0.0
3188,0.0,0.0,832.0,0.0,0.0
3111,0.0,0.0,826.0,0.0,0.0
3432,0.0,0.0,847.0,0.0,0.0
3228,0.0,0.0,818.0,0.0,0.0
3331,0.0,0.0,821.0,0.0,0.0
3137,0.0,0.0,841.0,0.0,0.0
3142,0.0,0.0,837.0,0.0,0.0
3813,0.0,0.0,852.0,0.0,0.0
3797,0.0,0.0,848.0,0.0,0.0
2385,0.0,0.0,849.0,0.0,0.0
2782,0.0,0.0,839.0,0.0,0.0
3315,0.0,0.0,844.0,0.0,0.0
2252,0.0,0.0,834.0,0.0,0.0
2014,0.0,0.0,830.0,0.0,0.0
2089,0.0,0.0,832.0,0.0,0.0
3372,0.0,0.0,1830.0,0.0,0.0
2289,0.0,0.0,843.0,0.0,0.0
3304,0.0,0.0,835.0,0.0,0.0
3346,0.0,0.0,829.0,0.0,0.0
3753,0.0,0.0,831.0,0.0,0.0
3933,0.0,0.0,827.0,0.0,0.0
3556,0.0,0.0,830.0,0.0,0.0
2217,0.0,0.0,834.0,0.0,0.0
3942,0.0,0.0,829.0,0.0,0.0
3480,0.0,0.0,838.0,0.0,0.0
2157,0.0,0.0,825.0,0.0,0.0
2199,0.0,0.0,1833.0,0.0,0.0
3248,0.0,0.0,838.0,0.0,0.0
3061,0.0,0.0,831.0,0.0,0.0
2716,0.0,0.0,823.0,0.0,0.0
2994,0.0,0.0,822.0,0.0,0.0
3225,0.0,0.0,1829.0,0.0,0.0
2876,0.0,0.0,826.0,0.0,0.0
2049,0.0,0.0,838.0,0.0,0.0
2514,0.0,0.0,832.0,0.0,0.0
2884,0.0,0.0,834.0,0.0,0.0
2390,0.0,0.0,824.0,0.0,0.0
2446,0.0,0.0,818.0,0.0,0.0
3681,0.0,0.0,843.0,0.0,0.0
2236,0.0,0.0,1812.0,0.0,0.0
2839,0.0,0.0,837.0,0.0,0.0
3664,0.0,0.0,843.0,0.0,0.0
2343,0.0,0.0,837.0,0.0,0.0
2832,0.0,0.0,845.0,0.0,0.0
3737,0.0,0.0,821.0,0.0,0.0
3629,0.0,0.0,845.0,0.0,0.0
2111,0.0,0.0,1835.0,0.0,0.0
3123,0.0,0.0,1815.0,0.0,0.0
2662,0.0,0.0,836.0,0.0,0.0
2648,0.0,0.0,1820.0,0.0,0.0
3350,0.0,0.0,829.0,0.0,0.0
2677,0.0,0.0,827.0,0.0,0.0
3010,0.0,0.0,842.0,0.0,0.0
2944,0.0,0.0,822.0,0.0,0.0
3562,0.0,0.0,827.0,0.0,0.0
2877,0.0,0.0,835.0,0.0,0.0
2013,0.0,0.0,1817.0,0.0,0.0
3183,0.0,0.0,832.0,0.0,0.0
3301,0.0,0.0,1826.0,0.0,0.0
3459,0.0,0.0,831.0,0.0,0.0
3290,0.0,0.0,845.0,0.0,0.0
3152,0.0,0.0,820.0,0.0,0.0
2859,0.0,0.0,849.0,0.0,0.0
