,perc_recomm_found,gamma,eta,gamma_obs,gamma_obs_pre,eta_obs,eta_obs_individualized,costs,lbd,thresh,r_type,t_type,iteration,model_coef,eta_obs_refits_batch0_mean,intv-cost
0,1.0,0.85,0.85,0.8700000047683716,0.14499999582767487,1.0,1.0,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,improvement,2,"[[0.4751564388943398, 0.5729292555660183, 1.416717671083954], [-0.016229350778096632]]",0.9679999351501465,4.212999999999999
1,1.0,0.85,0.85,0.41499999165534973,0.14000000059604645,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,acceptance,2,"[[0.4751564388943398, 0.5729292555660183, 1.416717671083954], [-0.016229350778096632]]",0.7140000462532043,2.288999999999999
2,1.0,0.85,0.85,0.32499998807907104,0.10499999672174454,0.995,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,counterfactual,2,"[[0.4751564388943398, 0.5729292555660183, 1.416717671083954], [-0.016229350778096632]]",0.6230000257492065,2.745
3,1.0,0.85,0.85,0.8550000190734863,0.0949999988079071,0.985,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,improvement,2,"[[0.4751564388943398, 0.5729292555660183, 1.416717671083954], [-0.016229350778096632]]",0.9539999961853027,3.983499999999998
4,1.0,0.85,0.85,0.36000001430511475,0.10999999940395355,0.94,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,acceptance,2,"[[0.4751564388943398, 0.5729292555660183, 1.416717671083954], [-0.016229350778096632]]",0.6799999475479126,2.507499999999999
5,1.0,0.85,0.85,0.8450000286102295,0.13500000536441803,1.0,1.0,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,improvement,1,"[[0.5322896472586136, 0.6884008497512112, 1.4001634498075968], [0.05159074547870677]]",0.9819999933242798,4.247000000000003
6,1.0,0.85,0.85,0.3700000047683716,0.14000000059604645,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,acceptance,1,"[[0.5322896472586136, 0.6884008497512112, 1.4001634498075968], [0.05159074547870677]]",0.6759999990463257,2.2155000000000014
7,1.0,0.85,0.85,0.3499999940395355,0.13500000536441803,0.995,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,counterfactual,1,"[[0.5322896472586136, 0.6884008497512112, 1.4001634498075968], [0.05159074547870677]]",0.5949999690055847,2.844999999999999
8,1.0,0.85,0.85,0.8299999833106995,0.11999999731779099,0.975,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,improvement,1,"[[0.5322896472586136, 0.6884008497512112, 1.4001634498075968], [0.05159074547870677]]",0.9439999461174011,3.9100000000000024
9,1.0,0.85,0.85,0.375,0.10499999672174454,0.94,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,acceptance,1,"[[0.5322896472586136, 0.6884008497512112, 1.4001634498075968], [0.05159074547870677]]",0.6720000505447388,2.5125000000000006
10,1.0,0.85,0.85,0.8550000190734863,0.10499999672174454,1.0,1.0,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,improvement,0,"[[1.2068199734576428, 1.0977081535741078, 0.9124229208856733], [-0.010424427733672793]]",0.9950000643730164,3.808999999999998
11,1.0,0.85,0.85,0.5899999737739563,0.125,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,acceptance,0,"[[1.2068199734576428, 1.0977081535741078, 0.9124229208856733], [-0.010424427733672793]]",0.8129999041557312,2.2930000000000006
12,1.0,0.85,0.85,0.5299999713897705,0.11500000208616257,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,counterfactual,0,"[[1.2068199734576428, 1.0977081535741078, 0.9124229208856733], [-0.010424427733672793]]",0.6769999861717224,3.503999999999999
13,1.0,0.85,0.85,0.8100000023841858,0.10000000149011612,0.975,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,improvement,0,"[[1.2068199734576428, 1.0977081535741078, 0.9124229208856733], [-0.010424427733672793]]",0.9639999270439148,3.940499999999999
14,1.0,0.85,0.85,0.6050000190734863,0.15000000596046448,0.915,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,acceptance,0,"[[1.2068199734576428, 1.0977081535741078, 0.9124229208856733], [-0.010424427733672793]]",0.8059999346733093,2.4404999999999997
