,years_experience,degree
2686,0.0,1.0
3474,0.0,1.0
2730,2.0,0.0
2246,0.0,1.0
3338,1.0,0.0
3122,0.0,3.0
3901,0.0,3.0
3514,1.0,1.0
3372,0.0,2.0
2173,0.0,3.0
2288,0.0,3.0
3520,0.0,1.0
3132,1.0,0.0
2565,1.0,1.0
3261,1.0,0.0
3091,2.0,0.0
3123,1.0,0.0
3589,0.0,2.0
2848,1.0,0.0
2733,0.0,1.0
2183,2.0,1.0
3280,0.0,2.0
3715,1.0,0.0
3816,3.0,0.0
3415,0.0,3.0
3968,0.0,2.0
3992,0.0,3.0
2387,0.0,2.0
3493,2.0,1.0
3496,0.0,2.0
2135,2.0,0.0
3531,0.0,3.0
2167,2.0,0.0
3140,0.0,3.0
2059,0.0,2.0
2026,0.0,2.0
2723,0.0,1.0
2349,1.0,0.0
2086,0.0,1.0
2728,0.0,2.0
2753,0.0,2.0
2523,2.0,1.0
3040,3.0,0.0
2449,0.0,1.0
3182,1.0,1.0
2224,0.0,3.0
3744,0.0,2.0
2762,0.0,3.0
3993,0.0,1.0
3911,1.0,1.0
3713,0.0,3.0
2858,0.0,2.0
3115,1.0,0.0
3184,0.0,1.0
3106,0.0,3.0
3738,1.0,1.0
2491,1.0,1.0
3726,0.0,1.0
3750,1.0,0.0
2938,0.0,1.0
2190,0.0,1.0
3621,0.0,2.0
3030,0.0,2.0
2284,0.0,3.0
2511,2.0,0.0
2459,0.0,3.0
3516,0.0,3.0
3100,0.0,2.0
2159,0.0,3.0
2746,0.0,2.0
2594,0.0,1.0
2571,0.0,1.0
3525,2.0,1.0
2857,1.0,1.0
2085,0.0,3.0
2242,0.0,2.0
3765,1.0,0.0
2316,0.0,3.0
3210,0.0,1.0
2281,0.0,2.0
3240,0.0,3.0
2563,2.0,1.0
3455,3.0,0.0
3133,1.0,0.0
2735,0.0,3.0
2164,2.0,0.0
3612,0.0,2.0
3551,1.0,2.0
2035,0.0,1.0
2712,0.0,3.0
3553,0.0,1.0
2439,0.0,1.0
2359,2.0,0.0
2101,0.0,1.0
2189,0.0,2.0
2865,1.0,0.0
3242,0.0,3.0
3169,0.0,3.0
2891,0.0,2.0
3303,0.0,2.0
3850,0.0,1.0
3820,2.0,0.0
3825,2.0,0.0
2621,1.0,1.0
3973,1.0,1.0
3026,2.0,0.0
3972,0.0,3.0
3441,1.0,0.0
3908,0.0,2.0
3288,0.0,2.0
3363,2.0,0.0
2859,1.0,0.0
2370,2.0,1.0
2307,1.0,2.0
2991,1.0,1.0
3220,1.0,1.0
3982,0.0,1.0
2547,0.0,3.0
2461,1.0,1.0
2397,1.0,0.0
2704,1.0,1.0
3203,0.0,1.0
3877,0.0,1.0
3378,1.0,1.0
2776,0.0,3.0
3420,0.0,3.0
3001,0.0,2.0
2323,0.0,3.0
3154,0.0,3.0
3187,2.0,0.0
2825,1.0,2.0
2452,2.0,0.0
2952,0.0,1.0
2265,0.0,3.0
2353,0.0,1.0
2322,2.0,1.0
2930,0.0,1.0
3752,0.0,3.0
3099,1.0,1.0
3247,0.0,3.0
3987,0.0,2.0
2393,0.0,2.0
2278,0.0,2.0
2830,0.0,2.0
3638,0.0,2.0
2313,0.0,3.0
2447,0.0,3.0
3606,1.0,0.0
2745,0.0,3.0
3652,0.0,3.0
3429,0.0,3.0
2875,0.0,3.0
3748,1.0,2.0
3630,0.0,1.0
3069,0.0,1.0
3681,0.0,1.0
3448,0.0,3.0
3148,1.0,1.0
3714,2.0,0.0
2833,0.0,3.0
2345,0.0,1.0
2749,2.0,0.0
3434,1.0,0.0
2181,1.0,1.0
2672,0.0,2.0
3212,0.0,2.0
3254,3.0,0.0
3844,1.0,0.0
3924,0.0,2.0
3241,0.0,3.0
3208,1.0,1.0
3395,0.0,3.0
2318,0.0,3.0
2855,0.0,3.0
2049,2.0,1.0
3200,0.0,1.0
2113,0.0,1.0
3847,1.0,2.0
3445,2.0,1.0
2134,0.0,3.0
2081,0.0,2.0
3670,0.0,3.0
2816,1.0,1.0
2334,0.0,1.0
3554,1.0,1.0
3730,1.0,1.0
3227,1.0,0.0
2935,1.0,0.0
3501,0.0,1.0
2362,0.0,2.0
2096,1.0,0.0
3695,2.0,0.0
2990,0.0,3.0
2555,1.0,1.0
2258,0.0,1.0
2888,2.0,1.0
2548,2.0,0.0
2331,0.0,3.0
3260,0.0,2.0
2948,2.0,0.0
