,h_post,h_post_individualized
2592,0.6851697254312981,
2782,0.45423870249268544,
3296,0.6712040019878536,
3459,0.7100169918514833,
2659,0.7324409639770885,
3038,0.8711137708337126,
2500,0.7688858079941089,
3293,0.7418408601224855,
3647,0.35501896827353263,
3341,0.983133061721544,
2880,0.7294796325349937,
3121,0.6599937182403174,
3610,0.86264941177712,
2507,0.7534767018676901,
3492,0.7106462915534062,
2913,0.723958407477804,
2265,0.9652390958131278,
2001,0.8185193775979012,
2681,0.7525317930016547,
2327,0.7685991439786621,
2014,0.7170188936505324,
2176,0.7661847531110577,
2110,0.7297417379255933,
2526,0.7582653824735817,
2218,0.8617845345312558,
3313,0.2373399927555167,
2158,0.7367125095924348,
2184,0.750900950466384,
2717,0.7917776751008158,
2428,0.18036107072846802,
3289,0.7807573475637306,
3255,0.7594109848428241,
2824,0.7164160306198069,
2495,0.8884312464393427,
2622,0.717209802531302,
2705,0.7991839695065899,
2022,0.716478386036146,
3311,0.7368368125527133,
3953,0.7238340273294197,
3696,0.5682827065515996,
2766,0.6932606089283797,
2739,0.7706743062070188,
2106,0.847737668742707,
2417,0.7353487185711646,
3571,0.750239838294801,
3123,0.9174329316300214,
2767,0.7722114771431294,
3170,0.7235811896996771,
3215,0.8058477710999946,
3642,0.7105518044424054,
2909,0.7588307361942288,
3959,0.7099696947337021,
3495,0.7620498834645798,
2977,0.7256163642966924,
3447,0.9845101690692167,
2878,0.7306564758069447,
2164,0.7406442734068766,
2112,0.868234460845418,
2351,0.9644146302081942,
2757,0.8715695516643419,
2392,0.6023553321860653,
2900,0.7157780572889085,
3677,0.2796954053901239,
3022,0.7088898114883918,
2456,0.7873609570861291,
2825,0.8821414143737442,
3343,0.7604701080610131,
3973,0.9501056083494673,
2577,0.7557709973825855,
3401,0.7526911018703936,
2124,0.6406771732623832,
2585,0.7248978656974151,
2974,0.7222629056763932,
2653,0.7160756922400326,
2614,0.7416564193386413,
3184,0.5517649728162455,
2047,0.7412629029500791,
2772,0.6728642817530269,
2890,0.9310154450582715,
2654,0.7144697014288209,
3721,0.7720630578779745,
2816,0.737333232079094,
2065,0.38017611905062804,
3106,0.8648472574002222,
3221,0.8281480112341243,
2266,0.8252603644381992,
2581,0.7666192008482119,
3422,0.7581675813685694,
3065,0.7480443875786057,
2269,0.6390586342435752,
3441,0.7127395791294912,
2752,0.7033327306738825,
2871,0.6789554682479793,
3976,0.870245302379698,
3518,0.7192715052071488,
3851,0.6546236989219197,
3012,0.7106645383776905,
2897,0.7589218141066516,
2988,0.7679000930070488,
2533,0.6885116596597664,
2031,0.7185529047229527,
2011,0.7469731431910497,
3489,0.6538775837441334,
2750,0.7485341847180433,
2743,0.7503454467693156,
2474,0.7339944468181375,
2722,0.7048571523148369,
2191,0.43204337473060206,
3016,0.753683097067742,
2196,0.7436470216116635,
2206,0.46118035752349457,
2314,0.8865877730456397,
3511,0.7315435990874002,
2043,0.7426852448360959,
3573,0.5684211736766167,
2512,0.6860324733747126,
2961,0.7255345112320662,
3862,0.7329091584474573,
3913,0.8286956657004155,
3920,0.7443583084786873,
2032,0.7171199585289759,
2073,0.4347671730362594,
2697,0.7239852094079768,
2407,0.7204652350788423,
3006,0.7487661056494311,
3740,0.792550289466828,
3129,0.7538728429609608,
3144,0.7267731641269114,
2882,0.4383818670030167,
3933,0.8303901242150282,
2048,0.7276212803132783,
2578,0.9281885641682904,
3151,0.7059317987678629,
2365,0.7636819459891347,
3790,0.7232295265599621,
3546,0.770093615176033,
3585,0.9476829585821264,
3246,0.7622943133821606,
3468,0.7172702141962731,
3882,0.7744977116088569,
3817,0.5855618712390765,
2405,0.7326398365778468,
3469,0.7710688525799374,
2971,0.5756315434537342,
2051,0.821222688290689,
3089,0.7794608525646483,
3636,0.702895075052664,
3358,0.7362491605986561,
2917,0.7086928898250653,
3420,0.893933491101314,
3063,0.6744841117177665,
2498,0.6114407254301827,
2081,0.7164841143743269,
3316,0.6991231605218757,
3617,0.7831925724611055,
3192,0.7494463597718856,
2430,0.7600663622016093,
3865,0.5197717222891762,
3240,0.701776342473215,
2204,0.729937088397966,
2130,0.5337170980870447,
2663,0.7718031378155353,
3614,0.5973138020822756,
2421,0.8374084227202183,
2366,0.8403900611076314,
3326,0.7202739191181103,
2169,0.73630251459298,
2186,0.7471086395521158,
3547,0.6616516526232683,
2630,0.7575725754365422,
3912,0.7063424617556723,
3674,0.8242630483938734,
2687,0.737338684538225,
3693,0.7080360449219402,
3516,0.8209747549789873,
2241,0.5691004959243585,
3987,0.7617812743440607,
2475,0.1783748438232072,
2631,0.8615563081907804,
2256,0.7926869182921586,
2222,0.7671431837742848,
2590,0.7214564610831083,
3798,0.6362644752169395,
3041,0.6816087461901656,
3541,0.8189005997748723,
3594,0.6683388913749232,
3002,0.5503501595187203,
3413,0.6825707482135798,
3093,0.6438934207678768,
3808,0.6914339069951188,
3410,0.7329772350782578,
3373,0.7413855302141723,
3794,0.7821268898921803,
3501,0.49256984505502016,
3180,0.6892335916090374,
3334,0.7289487424862917,
3697,0.3811400647556352,
3732,0.6247360988511236,
3989,0.7149610513352568,
3858,0.7496915968025262,
