,y_hat
15860,False
17885,False
12957,False
13658,False
18450,False
16837,False
12521,False
10762,False
18307,False
14141,False
10310,False
16436,False
13891,False
19058,False
14693,False
13540,False
16639,False
18073,False
11859,False
15727,False
18109,False
13812,False
11543,False
11572,False
10668,False
12537,False
13428,False
19129,False
16695,False
16163,False
12130,False
13060,False
19721,False
11103,False
11066,False
18575,False
16221,False
15280,False
16377,False
15845,False
12072,False
15118,False
17768,False
11449,False
15040,False
17777,False
12251,False
14058,False
16911,False
15145,False
11692,False
17328,False
11044,False
12715,False
19629,False
13221,False
16727,False
19536,False
18254,False
19590,False
11530,False
12424,False
13795,False
12277,False
12422,False
17529,False
12782,False
12955,False
17601,False
10397,False
12353,False
17029,False
19305,False
11996,False
11060,False
17619,False
19476,False
12533,False
17955,False
19959,False
12390,False
10250,False
12230,False
15739,False
14999,False
19540,False
14067,False
10302,False
14001,False
19335,False
15711,False
10818,False
10573,False
15561,False
14766,False
11433,False
11989,False
10960,False
17207,False
11049,False
14111,False
14667,False
19933,False
10387,False
16831,False
16821,False
19293,False
19371,False
11526,False
16982,False
19296,False
10631,False
17214,False
12207,False
16054,False
10527,False
10886,False
13757,False
15956,False
17640,False
18705,False
11443,False
13767,False
19510,False
11834,False
14037,False
12551,False
17512,False
18820,False
13427,False
14793,False
18731,False
15944,False
13164,False
16943,False
16689,False
15938,False
19768,False
12104,False
13125,False
13916,False
13512,False
18074,False
15140,False
17144,False
17828,False
10208,False
14554,False
17615,False
12557,False
17027,False
16046,False
11891,False
16702,False
13752,False
17106,False
12595,False
16593,False
13133,False
10588,False
13370,False
13942,False
11186,False
12603,False
13789,False
12932,False
12827,False
18379,False
15377,False
14125,False
15662,False
16250,False
17513,False
19666,False
18167,False
13968,False
16469,False
16178,False
14907,False
18500,False
18455,False
15090,False
10539,False
11839,False
17830,False
18760,False
12470,False
18676,False
15540,False
17014,False
18205,False
17143,False
15629,False
13791,False
17354,False
12465,False
14029,False
15927,False
10014,False
17704,False
