,h_post,h_post_individualized
2522,0.7669872544540056,
3743,0.5173135995092724,
3054,0.5157530428387146,
3425,0.5161524377673007,
3732,0.5168345303916615,
3669,0.5004487518130915,
2570,0.5205774395699957,
3874,0.5100450854794804,
3768,0.5038585736714518,
3083,0.5139440200845692,
2892,0.5076187863884165,
3906,0.726122782729506,
3356,0.5106797359648743,
3715,0.5212319472011449,
3303,0.5324485054282835,
3082,0.7266260703024561,
3497,0.5023525383529803,
3256,0.7285627945069065,
3070,0.5000612747583439,
2685,0.5193921015109544,
3480,0.5094128990889254,
2947,0.5588469675890048,
3885,0.5320552587339217,
3521,0.5229438338464422,
2868,0.5029272138539582,
3548,0.548330837862799,
3482,0.5079665406648157,
3649,0.5209392220975515,
2687,0.5000590381104589,
3771,0.5021033816211469,
2739,0.5129537449527964,
3628,0.5166593668415301,
3283,0.510814625098473,
2519,0.5099604342323071,
2403,0.5004751435393578,
2284,0.5225290275265588,
3881,0.504733254780693,
2354,0.5173893679710653,
3057,0.7215159793561065,
2304,0.5028666519799763,
2164,0.5167104849060862,
2906,0.5002792657301922,
2628,0.7358733785837475,
3989,0.5095435059154146,
3310,0.5113258756135719,
2782,0.520090728294138,
2262,0.5175171722852754,
3195,0.5190400985308683,
2774,0.522181701516692,
3384,0.733609679966138,
3583,0.5211851179399455,
2341,0.5029463723312873,
2061,0.5072274945039653,
3205,0.513173473247467,
2047,0.5096305079355928,
2327,0.5100320490778187,
2343,0.5103254311516254,
3545,0.5265206521433579,
2744,0.5131720513408258,
2072,0.5141517119679195,
2317,0.5189822990797169,
3901,0.5211168650887361,
2646,0.5151523177282956,
3374,0.5187828539569506,
3814,0.5225888470348073,
3537,0.5073449397576226,
3377,0.5271576459634865,
2079,0.50246120668802,
2834,0.5197149145358831,
3995,0.5037325385949342,
2548,0.5178715809958339,
2695,0.5068693194827999,
3490,0.5119094326752622,
2501,0.7248372388246055,
3793,0.7234355502575903,
3268,0.5195198228203628,
2801,0.507078193358681,
3576,0.5077741017883894,
2438,0.5041173440033321,
2483,0.503852482485599,
2959,0.5002548502849276,
2147,0.5079275013079045,
2616,0.512374816761754,
3085,0.50002941237454,
3538,0.5034961336091589,
2337,0.5024461818894604,
3721,0.5013163259881549,
2207,0.5019476468729772,
3324,0.5054689450698189,
2070,0.5103262544521066,
3552,0.5056528433747852,
2503,0.5113045261402824,
2265,0.7885339792940036,
3487,0.5342883067619386,
2672,0.5322977041149904,
3361,0.5207361329648498,
3642,0.5076662797352932,
2713,0.5143994841640249,
2514,0.5048999390102954,
2712,0.5147082798310303,
2006,0.5023815359994435,
3971,0.5593695376363782,
3089,0.5132840265690493,
2169,0.5439598506562356,
3088,0.5051889216193333,
3395,0.5145285241856566,
3675,0.5284643731152436,
3481,0.5002592936700587,
2697,0.5116422273212138,
3375,0.5205753757378754,
2889,0.5126488461262464,
2675,0.5050659399058232,
2077,0.7500890965746189,
2145,0.5266396550146647,
3098,0.7524965166387124,
3799,0.5275514218912112,
2344,0.5051971928565057,
3854,0.5013682145552351,
3404,0.5120571865591319,
2184,0.5801155216286118,
2957,0.5078944182139342,
3067,0.5193945910567909,
3208,0.5193141727507576,
3342,0.508054827969326,
3225,0.5193678852162993,
2729,0.5008306035717692,
3889,0.5080576268719054,
2449,0.5173025234981439,
3151,0.5119981001324294,
2710,0.5067723867878098,
3599,0.5139850067914645,
3474,0.5159298727998969,
3622,0.600845547337603,
3186,0.5399126390540143,
3412,0.514035487072959,
2464,0.5439745455850343,
2852,0.5237378588891468,
3417,0.5071614893214229,
2505,0.5012543832058929,
3849,0.5203504896070946,
3427,0.505775239002878,
3564,0.5154436495566398,
2797,0.5088014754743775,
3624,0.5021392222818598,
3329,0.5140162198236481,
3815,0.5171102862975591,
3640,0.5133372917313589,
2819,0.5028823670173433,
2089,0.5812757190263862,
3780,0.5270765419910787,
2590,0.7227443029160396,
2624,0.5144049816699737,
3080,0.5209902056658704,
3274,0.506848343298342,
2234,0.500025885376759,
3077,0.5204103680788433,
3921,0.517366521762795,
3118,0.5007366737073444,
3455,0.500809512498732,
3683,0.5024806696225707,
2291,0.5381012982619765,
2635,0.5127834606502752,
2383,0.5188839653112377,
2942,0.5162866232931814,
3751,0.5011635453060961,
2735,0.5061230532995128,
3601,0.5127922717548534,
2769,0.5178131166510219,
2573,0.5353887791264004,
2200,0.5353376149434547,
2387,0.513374975413744,
3762,0.5042907934907198,
3433,0.5098555050646477,
3041,0.5042167820831914,
3613,0.5389485856544768,
2290,0.5010449487347332,
3146,0.5123180018200189,
3860,0.5003715110272504,
2069,0.5035849152631884,
3565,0.5119644074707329,
3823,0.50541162092223,
3297,0.5001205881508652,
3947,0.5222650614543309,
2513,0.5263928311053239,
3495,0.5126847955985204,
2798,0.5182468901178441,
2375,0.5243935457903077,
2885,0.5134750304354199,
2755,0.5213660245318232,
2201,0.5124809149998474,
2206,0.5450674266414481,
2721,0.5100474688760455,
2182,0.5039875300224782,
3133,0.5150293561650604,
2461,0.5000127795802373,
2671,0.5182249302564161,
2180,0.507889683701156,
3106,0.5107305778741328,
2921,0.5161248274032482,
2109,0.5116858529835195,
