,y_hat
2522,False
3743,False
3054,False
3425,False
3732,False
3669,False
2570,False
3874,False
3768,False
3083,False
2892,False
3906,False
3356,False
3715,False
3303,False
3082,False
3497,False
3256,False
3070,False
2685,False
3480,False
2947,False
3885,False
3521,False
2868,False
3548,False
3482,False
3649,False
2687,False
3771,False
2739,False
3628,False
3283,False
2519,False
2403,False
2284,False
3881,False
2354,False
3057,False
2304,False
2164,False
2906,False
2628,False
3989,False
3310,False
2782,False
2262,False
3195,False
2774,False
3384,False
3583,False
2341,False
2061,False
3205,False
2047,False
2327,False
2343,False
3545,False
2744,False
2072,False
2317,False
3901,False
2646,False
3374,False
3814,False
3537,False
3377,False
2079,False
2834,False
3995,False
2548,False
2695,False
3490,False
2501,False
3793,False
3268,False
2801,False
3576,False
2438,False
2483,False
2959,False
2147,False
2616,False
3085,False
3538,False
2337,False
3721,False
2207,False
3324,False
2070,False
3552,False
2503,False
2265,False
3487,False
2672,False
3361,False
3642,False
2713,False
2514,False
2712,False
2006,False
3971,False
3089,False
2169,False
3088,False
3395,False
3675,False
3481,False
2697,False
3375,False
2889,False
2675,False
2077,False
2145,False
3098,False
3799,False
2344,False
3854,False
3404,False
2184,False
2957,False
3067,False
3208,False
3342,False
3225,False
2729,False
3889,False
2449,False
3151,False
2710,False
3599,False
3474,False
3622,False
3186,False
3412,False
2464,False
2852,False
3417,False
2505,False
3849,False
3427,False
3564,False
2797,False
3624,False
3329,False
3815,False
3640,False
2819,False
2089,False
3780,False
2590,False
2624,False
3080,False
3274,False
2234,False
3077,False
3921,False
3118,False
3455,False
3683,False
2291,False
2635,False
2383,False
2942,False
3751,False
2735,False
3601,False
2769,False
2573,False
2200,False
2387,False
3762,False
3433,False
3041,False
3613,False
2290,False
3146,False
3860,False
2069,False
3565,False
3823,False
3297,False
3947,False
2513,False
3495,False
2798,False
2375,False
2885,False
2755,False
2201,False
2206,False
2721,False
2182,False
3133,False
2461,False
2671,False
2180,False
3106,False
2921,False
2109,False
