,years_experience,degree
3391,0.0,2.0
2800,0.0,3.0
3651,0.0,1.0
2177,0.0,2.0
3030,0.0,3.0
3471,1.0,0.0
3213,0.0,2.0
3478,1.0,0.0
3953,0.0,2.0
3280,0.0,3.0
2924,2.0,1.0
3887,0.0,1.0
2916,1.0,0.0
3556,0.0,2.0
2569,0.0,1.0
2793,0.0,1.0
3686,2.0,0.0
2681,0.0,1.0
2401,0.0,1.0
2255,1.0,0.0
3024,1.0,1.0
2094,0.0,1.0
2314,1.0,1.0
3346,0.0,2.0
3430,0.0,2.0
2557,0.0,2.0
3410,0.0,2.0
2782,2.0,1.0
2023,1.0,0.0
2831,2.0,0.0
2696,0.0,1.0
3463,0.0,2.0
3464,1.0,1.0
2349,2.0,1.0
3877,1.0,1.0
3533,0.0,1.0
2503,0.0,1.0
2587,0.0,3.0
2876,1.0,0.0
2289,0.0,3.0
2220,0.0,3.0
3538,0.0,3.0
2089,0.0,2.0
3077,0.0,3.0
2772,0.0,2.0
3435,1.0,0.0
3404,0.0,3.0
2261,1.0,1.0
3093,0.0,2.0
3362,1.0,0.0
2433,0.0,1.0
2308,1.0,1.0
3203,2.0,0.0
3460,2.0,0.0
3862,1.0,1.0
3540,0.0,1.0
3767,2.0,0.0
2939,1.0,0.0
3380,0.0,1.0
3917,0.0,3.0
2088,0.0,3.0
2096,0.0,2.0
3204,0.0,3.0
3898,2.0,1.0
3056,0.0,2.0
3669,1.0,0.0
3317,2.0,0.0
2854,1.0,0.0
3909,0.0,3.0
2561,2.0,0.0
3131,1.0,1.0
2610,0.0,2.0
3746,0.0,3.0
3580,0.0,1.0
3398,0.0,3.0
2148,0.0,3.0
2627,2.0,1.0
3856,1.0,0.0
3906,0.0,1.0
3936,0.0,1.0
2301,0.0,2.0
2664,2.0,0.0
2300,1.0,0.0
2293,0.0,3.0
3422,0.0,3.0
3997,0.0,3.0
3087,0.0,2.0
3527,0.0,1.0
2881,0.0,2.0
2445,0.0,2.0
3294,0.0,1.0
2703,0.0,3.0
2866,1.0,1.0
3804,0.0,1.0
2490,1.0,0.0
3353,0.0,1.0
2818,0.0,1.0
2306,2.0,0.0
3895,0.0,2.0
3443,0.0,1.0
2120,0.0,3.0
2648,0.0,1.0
3932,0.0,2.0
2453,1.0,0.0
3818,0.0,1.0
2974,1.0,1.0
3954,0.0,3.0
2929,0.0,3.0
2488,1.0,0.0
3637,0.0,1.0
2466,0.0,1.0
2753,0.0,1.0
3113,0.0,2.0
3170,0.0,2.0
2835,0.0,3.0
2240,2.0,1.0
2480,0.0,3.0
2105,2.0,1.0
3991,0.0,1.0
3498,0.0,2.0
2119,2.0,0.0
3857,1.0,1.0
2274,2.0,0.0
2728,2.0,1.0
2355,1.0,0.0
3222,1.0,0.0
3480,0.0,3.0
3212,0.0,1.0
3048,0.0,1.0
2111,1.0,1.0
3879,2.0,0.0
2335,0.0,2.0
3152,0.0,1.0
2371,0.0,1.0
3994,0.0,3.0
3791,0.0,3.0
2124,1.0,0.0
3120,0.0,1.0
2699,0.0,2.0
3287,1.0,1.0
2528,0.0,1.0
2474,0.0,1.0
2717,0.0,1.0
2467,0.0,3.0
2662,0.0,1.0
3683,0.0,3.0
3301,0.0,1.0
2443,0.0,1.0
3696,2.0,0.0
2523,0.0,2.0
3689,2.0,0.0
2167,0.0,1.0
2141,0.0,3.0
3419,0.0,1.0
3615,0.0,2.0
2641,2.0,0.0
2091,1.0,1.0
2465,2.0,1.0
3868,0.0,3.0
3188,1.0,2.0
2936,2.0,1.0
2686,0.0,1.0
2413,0.0,1.0
3503,0.0,2.0
3320,0.0,3.0
2098,1.0,1.0
3883,0.0,3.0
2207,0.0,1.0
2960,0.0,3.0
3728,0.0,3.0
3033,0.0,1.0
3453,0.0,3.0
2624,1.0,2.0
2283,0.0,3.0
2553,0.0,1.0
3295,2.0,0.0
2000,0.0,2.0
3996,1.0,2.0
3275,0.0,1.0
3042,0.0,2.0
3068,0.0,1.0
2516,1.0,1.0
3486,0.0,3.0
3541,2.0,0.0
3381,2.0,0.0
2168,0.0,1.0
3054,0.0,2.0
2157,0.0,2.0
2487,1.0,0.0
2692,0.0,3.0
3562,2.0,0.0
2211,2.0,1.0
2414,2.0,0.0
3282,0.0,3.0
2568,1.0,2.0
2083,0.0,3.0
2067,1.0,1.0
3659,0.0,2.0
2322,2.0,0.0
2022,0.0,2.0
