,h_post,h_post_individualized
2188,0.54,
3027,0.52,
3191,0.54,
3631,0.78,
3633,0.52,
2350,0.52,
3192,0.54,
3187,0.52,
3208,0.58,
2466,0.54,
2940,0.54,
2696,0.52,
2163,0.52,
2138,0.52,
2117,0.62,
2213,0.58,
2343,0.52,
2809,0.58,
3751,0.52,
2868,0.54,
2391,0.52,
2137,0.52,
3213,0.92,
3044,0.54,
3296,0.54,
2078,0.54,
2882,0.52,
2700,0.52,
2049,0.56,
3588,0.56,
3795,0.62,
3846,0.54,
2001,0.52,
2409,0.54,
2724,0.52,
2541,0.58,
2208,0.56,
3001,0.52,
2558,0.54,
2740,0.64,
2720,0.84,
3935,0.54,
3347,0.54,
3656,0.54,
2064,0.64,
3494,0.56,
2831,0.52,
3159,0.52,
2729,0.54,
2580,0.52,
2938,0.52,
3788,0.54,
2519,0.54,
3262,0.54,
3918,0.52,
3637,0.54,
3506,0.52,
2043,0.54,
2102,0.52,
2561,0.52,
2463,0.54,
3373,0.52,
2341,0.64,
3234,0.54,
2932,0.58,
3672,0.58,
2495,0.56,
3851,0.52,
2055,0.52,
2987,0.58,
2955,0.54,
2490,0.56,
3127,0.58,
3367,0.54,
3565,0.52,
2014,0.52,
2366,0.52,
3834,0.52,
2011,0.54,
3354,0.52,
2132,0.54,
3359,0.58,
2950,0.52,
2976,0.54,
3680,0.58,
3572,0.64,
2451,0.52,
3106,0.56,
3937,0.52,
2410,0.96,
3308,0.54,
2744,0.54,
2736,0.54,
3069,0.54,
3848,0.56,
3784,0.58,
2981,0.58,
3326,0.56,
2557,0.54,
2795,0.52,
2210,0.52,
3080,0.52,
2911,0.86,
3671,0.54,
2316,0.52,
2267,0.52,
3236,0.62,
2097,0.52,
3623,0.54,
2008,0.52,
2462,0.52,
3425,0.62,
2687,0.58,
2427,0.52,
3723,0.52,
3322,0.54,
3706,0.52,
3926,0.52,
2258,0.64,
2284,0.54,
3075,0.54,
3602,0.52,
2324,0.52,
2652,0.56,
2135,0.52,
2695,0.52,
2915,0.64,
3607,0.52,
2661,0.52,
2584,0.52,
2830,0.52,
2088,0.58,
2428,0.56,
2243,0.52,
2334,0.64,
3055,0.86,
3714,0.52,
3516,0.52,
3966,0.76,
3214,0.56,
2501,0.54,
3253,0.64,
3620,0.58,
3181,0.52,
3673,0.54,
3866,0.64,
3331,0.52,
3635,0.54,
2252,0.52,
3335,0.56,
2856,0.52,
2077,0.54,
3081,0.52,
3997,0.64,
2056,0.56,
2585,0.54,
3967,0.58,
3174,0.52,
3173,0.52,
3920,0.52,
2060,0.58,
3223,0.58,
2924,0.52,
2628,0.64,
3378,0.54,
3746,0.52,
2869,0.54,
2735,0.52,
2578,0.52,
2424,0.54,
3582,0.54,
3934,0.64,
2984,0.52,
2930,0.52,
2785,0.52,
2168,0.54,
2333,0.54,
2076,0.52,
2431,0.64,
2199,0.56,
3064,0.58,
3605,0.54,
2029,0.54,
2071,0.52,
2153,0.64,
2151,0.54,
3583,0.58,
3050,0.52,
2376,0.54,
2326,0.96,
3689,0.52,
3408,0.52,
3881,0.52,
3782,0.52,
3690,0.52,
2010,0.52,
2781,0.52,
2668,0.54,
3994,0.52,
3097,0.54,
