,h_post,h_post_individualized
2704,0.5077108354541836,
3789,0.521497891328874,
3536,0.5114980210602028,
3169,0.5004861313849307,
3191,0.5091736554329731,
3876,0.5201288631773989,
3577,0.5246216250691356,
2626,0.5432497334692953,
2542,0.5174398492045781,
2433,0.5022587881444088,
2714,0.5095142249338692,
2701,0.5029409386932838,
2120,0.5082472177905314,
3004,0.8147559489826083,
3740,0.505510125791412,
2340,0.5008527179238702,
3757,0.5216117410933886,
2770,0.5001423767432447,
3199,0.5281637887322246,
2763,0.543661205872264,
2499,0.5308464209000971,
3444,0.5273564693635637,
2115,0.5828035968940986,
2072,0.5086743990792227,
3872,0.526601752851135,
2407,0.5076877761753279,
3161,0.5137558338532301,
3301,0.5145830481769893,
2676,0.7517606380167899,
3936,0.5107309047845593,
2270,0.5021095925858631,
3127,0.5206146460672904,
2834,0.5063903983873066,
2411,0.5034340340207442,
3097,0.5237079883103387,
3388,0.5101492722829247,
2937,0.5002596190350038,
3746,0.707961394648,
3482,0.5246726512450143,
3609,0.43891251285453137,
3311,0.5139199867825649,
3929,0.5315183043918971,
2593,0.5022268634865696,
3490,0.5115821729902261,
3383,0.5142197431982997,
3812,0.5256799954393635,
3181,0.5201148898345538,
3211,0.3647831139990631,
3631,0.5228266480463938,
3128,0.5208232104930327,
3494,0.5131595339907505,
2536,0.5257483477160245,
3825,0.5177169693414498,
3515,0.520367000365248,
3362,0.5207811976805811,
2697,0.5259767222415942,
3385,0.5047657105728895,
2121,0.520692170310096,
3588,0.6853197993123687,
3904,0.5040930401231518,
2008,0.5016829466923444,
2934,0.5071743621025075,
2321,0.7158925663873109,
3782,0.5322901532306126,
3870,0.5076582919971536,
3091,0.5301341452268887,
3412,0.5127838348110018,
3626,0.5045790821220281,
3897,0.5334592866772855,
3820,0.5113926866310723,
3290,0.5209786272498479,
2997,0.5060822141874363,
3055,0.5155977481400182,
3965,0.5352209795130043,
2692,0.5057967144504354,
3144,0.5036023382182963,
2505,0.519996857832395,
3058,0.5258825731046188,
3656,0.5085455599726711,
2986,0.5323229180962382,
3831,0.5254369513641475,
2656,0.3617282917527379,
3249,0.5048755944504327,
3193,0.44575948315415154,
3389,0.5076107974366741,
2926,0.5047256962729944,
2202,0.5016911034239265,
3228,0.5174613360573485,
2196,0.5078905584027315,
3173,0.5424884590149746,
3654,0.5094961462470672,
2788,0.5248025191041429,
3888,0.5018539905407494,
3246,0.5239649820742872,
2602,0.8557867017300277,
3342,0.5733215101060829,
3881,0.5384728703788177,
2069,0.5143050112325821,
3553,0.34192300910732515,
2108,0.5127769859973136,
2190,0.5031461669830335,
3244,0.5110236368368914,
2715,0.5087659914987167,
2839,0.5176455634745838,
3523,0.5147513815498719,
2636,0.5098709559535255,
3777,0.15078987162294608,
2696,0.512860192828339,
3913,0.5200472605351033,
2254,0.7475904440585787,
3851,0.5499647038203892,
2846,0.5143821978722105,
2751,0.5005560304433988,
2365,0.5017851909736244,
2902,0.5426888124472719,
3430,0.508713790591925,
2526,0.5185657371051083,
2772,0.509959108175053,
2802,0.5429985876383183,
3928,0.5260784115459969,
2888,0.5145741085038623,
2827,0.5228472673437967,
3347,0.5297946234357005,
3083,0.5111041519458858,
3053,0.5050988927267269,
2342,0.5018902558147623,
3453,0.5197657308372673,
2324,0.5057204516001892,
2036,0.5029831482138,
2155,0.502055967597876,
3607,0.5170392626530209,
2193,0.5134918179580523,
2518,0.513840181541451,
2549,0.5024541891052368,
2735,0.5022928654515567,
3549,0.5247633392134303,
2925,0.6198736847869011,
3662,0.5147964274886113,
2728,0.52130726564476,
2232,0.5075416049648452,
3640,0.5226685290266216,
3119,0.6973667775680803,
3813,0.5279474683434849,
2323,0.5111369713366765,
3648,0.5013390606086611,
2346,0.5219110904834023,
2563,0.5104175704871382,
2873,0.323844296187001,
2541,0.5593124291725953,
2862,0.5038740051292232,
3585,0.5100589143968005,
2147,0.507614005700173,
3276,0.5039710025111512,
2446,0.5059504394106085,
2417,0.5148340503454419,
2207,0.5123615714613551,
2824,0.5057881638243167,
3427,0.5351580556681338,
2791,0.5087249488629166,
2154,0.5142262603929056,
2747,0.511807209510345,
2261,0.508173211446982,
3480,0.5056047099740494,
3667,0.5949420754515133,
2422,0.5086779911623159,
2298,0.5423793110667698,
2040,0.5187962723506644,
2018,0.5023715220618801,
2708,0.5101417320141047,
3496,0.5071722692565176,
2778,0.5251244378352786,
2359,0.5246042965574426,
3398,0.5010492334663361,
3328,0.5062221557949907,
2779,0.5224163394924829,
3462,0.5859381709955273,
2850,0.5174023419585229,
3517,0.5134822228566128,
2493,0.5212459557221492,
3419,0.5153716095151237,
3522,0.5042084001375708,
3766,0.5207356226438887,
3485,0.5242743127220916,
2451,0.3471078458674311,
2525,0.533743328793137,
2546,0.5068224058569956,
3994,0.5211389030496139,
3035,0.5211266048914102,
3920,0.5024902538627155,
3911,0.5416651536667189,
2470,0.5145803851167147,
3735,0.512504164593163,
2838,0.508837951876617,
3370,0.5248149714466798,
3351,0.4143443205120074,
3474,0.5308502970667509,
3037,0.5099111037523056,
2875,0.5490002201047203,
2758,0.5023735061936484,
3558,0.5059746777352782,
