,perc_recomm_found,gamma,eta,gamma_obs,gamma_obs_pre,eta_obs,eta_obs_individualized,costs,lbd,thresh,r_type,t_type,iteration,model_coef,eta_obs_refits_batch0_mean,intv-cost
0,1.0,0.75,0.75,0.7799999713897705,0.18000000715255737,0.935,0.78,"[1.0, 1.0]",300.0,0.5,individualized,improvement,2,"[[0.058570735075355006, -0.04294080516661027, 0.9895049119946752], [-0.44510683463595774]]",0.925000011920929,2.058500000000001
1,1.0,0.75,0.75,0.2750000059604645,0.19499999284744263,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,acceptance,2,"[[0.058570735075355006, -0.04294080516661027, 0.9895049119946752], [-0.44510683463595774]]",0.7739999294281006,2.098500000000001
2,1.0,0.75,0.75,0.20000000298023224,0.20000000298023224,0.965,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,counterfactual,2,"[[0.058570735075355006, -0.04294080516661027, 0.9895049119946752], [-0.44510683463595774]]",0.7900000214576721,2.221
3,1.0,0.75,0.75,0.7049999833106995,0.16500000655651093,0.8,,"[1.0, 1.0]",300.0,0.5,subpopulation,improvement,2,"[[0.058570735075355006, -0.04294080516661027, 0.9895049119946752], [-0.44510683463595774]]",0.7940000295639038,1.9394999999999996
4,1.0,0.75,0.75,0.20000000298023224,0.12999999523162842,0.905,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,acceptance,2,"[[0.058570735075355006, -0.04294080516661027, 0.9895049119946752], [-0.44510683463595774]]",0.7459999918937683,2.0890000000000013
5,1.0,0.75,0.75,0.7350000143051147,0.15000000596046448,0.895,0.76,"[1.0, 1.0]",300.0,0.5,individualized,improvement,1,"[[-0.1555446845692614, -0.1173466186554064, 1.050738558704026], [-0.5508724646714683]]",0.9199999570846558,2.178499999999999
6,1.0,0.75,0.75,0.20999999344348907,0.17499999701976776,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,acceptance,1,"[[-0.1555446845692614, -0.1173466186554064, 1.050738558704026], [-0.5508724646714683]]",0.6809999942779541,1.9464999999999995
7,1.0,0.75,0.75,0.1850000023841858,0.1850000023841858,0.99,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,counterfactual,1,"[[-0.1555446845692614, -0.1173466186554064, 1.050738558704026], [-0.5508724646714683]]",0.5819999575614929,2.145499999999999
8,1.0,0.75,0.75,0.7049999833106995,0.1599999964237213,0.75,,"[1.0, 1.0]",300.0,0.5,subpopulation,improvement,1,"[[-0.1555446845692614, -0.1173466186554064, 1.050738558704026], [-0.5508724646714683]]",0.7849999666213989,1.919
9,1.0,0.75,0.75,0.1899999976158142,0.1599999964237213,0.915,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,acceptance,1,"[[-0.1555446845692614, -0.1173466186554064, 1.050738558704026], [-0.5508724646714683]]",0.5419999957084656,2.157
10,1.0,0.75,0.75,0.7599999904632568,0.1550000011920929,0.955,0.82,"[1.0, 1.0]",300.0,0.5,individualized,improvement,0,"[[-0.031946652314394273, 0.08362329959012135, 0.9400461498129361], [-0.5584002928969275]]",0.9569999575614929,1.8839999999999997
11,1.0,0.75,0.75,0.26499998569488525,0.17499999701976776,0.99,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,acceptance,0,"[[-0.031946652314394273, 0.08362329959012135, 0.9400461498129361], [-0.5584002928969275]]",0.7360000014305115,2.0515000000000008
12,1.0,0.75,0.75,0.20499999821186066,0.20499999821186066,0.98,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,counterfactual,0,"[[-0.031946652314394273, 0.08362329959012135, 0.9400461498129361], [-0.5584002928969275]]",0.6899999976158142,2.083500000000001
13,1.0,0.75,0.75,0.7450000047683716,0.17499999701976776,0.83,,"[1.0, 1.0]",300.0,0.5,subpopulation,improvement,0,"[[-0.031946652314394273, 0.08362329959012135, 0.9400461498129361], [-0.5584002928969275]]",0.824999988079071,1.9334999999999993
14,1.0,0.75,0.75,0.25999999046325684,0.20999999344348907,0.91,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,acceptance,0,"[[-0.031946652314394273, 0.08362329959012135, 0.9400461498129361], [-0.5584002928969275]]",0.6829999685287476,2.0925000000000002
