,years_experience,degree
3032,2.0,0.0
2711,0.0,2.0
3071,0.0,1.0
3460,1.0,2.0
3135,2.0,1.0
3852,1.0,1.0
3043,0.0,2.0
2954,0.0,1.0
2038,0.0,1.0
2558,0.0,3.0
2428,0.0,2.0
2998,0.0,3.0
3254,2.0,1.0
3117,1.0,1.0
2371,0.0,2.0
3829,2.0,1.0
2040,0.0,2.0
3836,1.0,0.0
2721,0.0,1.0
3645,1.0,1.0
3416,0.0,2.0
2824,1.0,0.0
2382,0.0,1.0
2246,0.0,3.0
2181,0.0,2.0
2313,0.0,1.0
3861,0.0,1.0
3714,2.0,0.0
3339,0.0,2.0
3275,1.0,1.0
2887,2.0,1.0
2454,1.0,1.0
2950,0.0,1.0
3031,1.0,1.0
3240,0.0,3.0
3923,0.0,3.0
3496,1.0,0.0
3998,0.0,2.0
3141,0.0,1.0
3425,2.0,0.0
3624,0.0,3.0
2805,2.0,0.0
2285,2.0,1.0
2098,1.0,0.0
3276,1.0,0.0
3551,1.0,0.0
2835,0.0,2.0
3453,0.0,1.0
3432,0.0,2.0
2585,1.0,1.0
2680,0.0,3.0
3022,2.0,0.0
3353,1.0,0.0
2096,0.0,1.0
2463,0.0,2.0
2020,0.0,3.0
3156,0.0,3.0
2212,0.0,2.0
2061,0.0,2.0
3695,2.0,0.0
2541,0.0,1.0
2931,0.0,1.0
2196,1.0,0.0
2664,0.0,1.0
2111,0.0,2.0
3855,0.0,3.0
3851,0.0,3.0
2778,0.0,2.0
3089,0.0,2.0
3941,0.0,1.0
3569,2.0,1.0
3682,0.0,2.0
2199,0.0,1.0
2624,0.0,3.0
3530,1.0,1.0
3014,0.0,1.0
3516,0.0,2.0
3508,1.0,0.0
3988,1.0,1.0
2627,2.0,0.0
3309,0.0,3.0
3139,0.0,2.0
3607,2.0,0.0
3931,0.0,3.0
2375,1.0,0.0
2408,0.0,3.0
3296,0.0,1.0
2638,1.0,1.0
3435,0.0,1.0
3877,0.0,1.0
2232,2.0,0.0
2665,0.0,3.0
2175,2.0,0.0
2567,1.0,0.0
3524,2.0,0.0
3321,0.0,2.0
3427,0.0,1.0
3691,2.0,0.0
3379,0.0,1.0
2730,0.0,3.0
2145,0.0,2.0
2599,0.0,2.0
2110,1.0,0.0
2430,1.0,1.0
3743,0.0,2.0
3001,0.0,1.0
3706,0.0,2.0
2714,0.0,3.0
2836,1.0,1.0
3020,0.0,1.0
2155,0.0,1.0
2873,1.0,0.0
2011,2.0,1.0
3647,0.0,3.0
2987,0.0,2.0
3271,0.0,1.0
3662,1.0,1.0
2261,0.0,2.0
3143,0.0,3.0
3878,0.0,3.0
2571,2.0,0.0
2058,2.0,0.0
3617,2.0,0.0
2147,0.0,1.0
2310,0.0,1.0
3175,1.0,0.0
3679,0.0,2.0
2610,1.0,0.0
2245,0.0,1.0
2002,2.0,0.0
3798,0.0,3.0
2679,0.0,1.0
3151,0.0,2.0
2833,0.0,1.0
2717,1.0,1.0
3598,0.0,2.0
3058,2.0,1.0
3280,0.0,3.0
2540,2.0,0.0
3768,2.0,1.0
2437,0.0,3.0
2718,1.0,1.0
2651,0.0,2.0
3154,1.0,0.0
2832,1.0,2.0
2331,2.0,0.0
3235,1.0,0.0
3362,0.0,3.0
2276,1.0,0.0
3611,0.0,2.0
3028,0.0,2.0
3854,0.0,1.0
3227,3.0,0.0
2485,1.0,1.0
2204,0.0,3.0
2976,1.0,1.0
3761,1.0,1.0
3751,0.0,2.0
3935,0.0,1.0
3904,1.0,1.0
2409,0.0,2.0
3295,0.0,3.0
2775,1.0,0.0
3475,0.0,3.0
3137,0.0,1.0
3634,0.0,1.0
3997,0.0,3.0
2943,1.0,1.0
3375,1.0,0.0
3900,1.0,1.0
3277,0.0,1.0
2511,0.0,1.0
3593,0.0,3.0
3594,1.0,0.0
3563,0.0,2.0
3834,2.0,0.0
3069,0.0,3.0
2744,0.0,2.0
2603,0.0,1.0
3412,0.0,2.0
3011,0.0,2.0
2722,1.0,0.0
3685,0.0,1.0
3179,0.0,1.0
2229,0.0,2.0
2986,0.0,3.0
2197,2.0,0.0
3622,0.0,3.0
3233,0.0,3.0
3311,0.0,3.0
3428,0.0,3.0
3401,1.0,1.0
2839,0.0,3.0
3831,1.0,1.0
3061,2.0,1.0
3054,0.0,2.0
3050,0.0,3.0
2781,0.0,2.0
2103,1.0,0.0
3189,1.0,0.0
