,perc_recomm_found,gamma,eta,gamma_obs,gamma_obs_pre,eta_obs,eta_obs_individualized,costs,lbd,thresh,r_type,t_type,iteration,model_coef,eta_obs_refits_batch0_mean,intv-cost
0,1.0,0.85,0.85,0.95,0.0,0.95,0.95,"[5.0, 5.0]",300.0,0.5,individualized,improvement,2,,0.95,9.65
1,1.0,0.85,0.85,0.0,0.0,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,individualized,acceptance,2,,0.807,0.10834949999999996
2,1.0,0.85,0.85,0.0,0.0,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,individualized,counterfactual,2,,0.82,0.10099400000000004
3,1.0,0.85,0.85,0.92,0.0,0.92,,"[5.0, 5.0]",300.0,0.5,subpopulation,improvement,2,,0.921,9.55
4,1.0,0.85,0.85,0.96,0.0,0.96,0.96,"[5.0, 5.0]",300.0,0.5,individualized,improvement,1,,0.96,9.2
5,1.0,0.85,0.85,0.005,0.005,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,individualized,acceptance,1,,0.78,0.35456550000000014
6,1.0,0.85,0.85,0.0,0.0,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,individualized,counterfactual,1,,0.8039999999999999,0.3730745
7,1.0,0.85,0.85,0.95,0.0,0.95,,"[5.0, 5.0]",300.0,0.5,subpopulation,improvement,1,,0.95,9.55
8,1.0,0.85,0.85,0.0,0.0,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,subpopulation,acceptance,1,,0.778,0.36662599999999995
9,1.0,0.85,0.85,0.96,0.0,0.96,0.96,"[5.0, 5.0]",300.0,0.5,individualized,improvement,0,,0.96,9.175
10,1.0,0.85,0.85,0.0,0.0,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,individualized,acceptance,0,,0.558,0.10326699999999998
11,1.0,0.85,0.85,0.0,0.0,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,individualized,counterfactual,0,,0.525,0.10068399999999998
12,1.0,0.85,0.85,0.955,0.0,0.955,,"[5.0, 5.0]",300.0,0.5,subpopulation,improvement,0,,0.9549999999999998,10.075
13,1.0,0.85,0.85,0.0,0.0,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,subpopulation,acceptance,0,,0.5149999999999999,0.09979850000000003
